Commit_ID,Contributor,Date,Message,Files
016dc769b6e2e78efba3b8946ce5759b9c6837af,Aldo Vargas,2015-04-15,"Bug fixes, added securityBug fixes, added security and robustness.","['.gitignore,UDPserver.py,pyMultiwii.py,joystick-test.py']"
69740bb30f24e1a210a17fd006a257377ccf2a8f,Aldo Vargas,2015-04-15,"UDP bug fixesIf UDP lost connection, then don’t send commands… added robustness","['UDPserver.py,pyMultiwii.py,joystick-test.py']"
8754e3c38ac753b590391801a15f038a5004e7e5,Aldo Vargas,2015-04-16,"Extra functionsCouple of extra functions on utils, and 2 pid tests, bugged out.","['utils.py,hover-controller.py']"
eb6de12a545d69a6398fc7a0eb4a0ea227af5b28,Aldo Vargas,2015-04-28,3 issues fixed3 issues fixed:- desiredRoll & pitch are not global...- pitch and roll problem (with murray suggestion)- Positon print integer,"['utils.py,hover-controller.py']"
d073feabd5b91101939bd031b8a9e45a3a33b910,Aldo Vargas,2015-06-01,"XYZ errorsAfter several days trying to see what was the reason it wasn’t working,the error was that Y was being Z… U_U","['utils.py,hover-controller.py']"
cbfb965b99c33708860cc6ad86d8f7848e9757b7,Kyle Brown,2015-06-19,Bug correction to takeoffModified ordered of import modules. General debugging and now isworking in simulation. Land function added.,['pix-takeoff.py']
3af3550488f3bf94644d8a9faed04d661358037b,Aldo Vargas,2015-06-19,nano copy-paste error....nano copy-paste error....,['pix-takeoff.py']
1c95877c0a6b0ba4cf7c8932b4dd3044a445778e,Aldo Vargas,2015-07-01,Error on the runwayErrors on the runway,"['1-mission.py,2-mission.py']"
5573a106b9f1006effe35bbfa7ea033e00e5d97c,Aldo Vargas,2015-08-19,New moduleNew module and bug corrections on joystick script,"['pixVehicle.py,pix-logdata.py']"
40fb713f9ddfe506fa7100291aa4ef261a898b41,Aldo Vargas,2015-08-19,Error correction on joystick,['pix-joystick.py']
f8c5273eb538d61fc0cdd017f624bf3c6f1e1e76,Aldo Vargas,2015-08-19,Bugs before testingSome bugs on the new modules.,"['pixVehicle.py,pix-joystick.py']"
3271e403039a80ea0de3131928357a79486714ab,Aldo Vargas,2015-08-19,Bug corrections after successful flyingpix-joystick is flying great!!!,"['pixVehicle.py,pix-joystick.py']"
ed399b32a059aaf13c22278c89abdf0c45b44832,Aldo Vargas,2015-09-04,pyMultiwii bugFix the bug of pyMultiwii.,"['README.md,pyMultiwii.py,mw-logdata.py']"
d7268a5b7eb9193281e6935020394fa277a36f51,Aldo Vargas,2015-11-16,Class error,['pix-pan-tilt-camera.py']
a22a6e84620a5fbb81b37bba9e68470c017d9b5d,Aldo Vargas,2015-11-16,Bug,['pix-pan-tilt-camera.py']
409f661cd1cb0384bf3039e4cf71fbad99463cc6,Aldo Vargas,2015-12-08,Bugs HZ while loopBug in the loop when waiting for an specific time.,"['mw-simulink-controller.py,pix-pan-tilt-camera.py']"
97eabc07e9c70a820d290b9f0181a93b4daf611f,Aldo Vargas,2015-12-21,Height Controller bug 1Height Controller bug 1,['mw-hover-controller.py']
aadb5d6065652f098bae65ee2b009ebf47196033,Aldo Vargas,2015-12-21,Height Controller bug 2,['mw-hover-controller.py']
1d2a68b62a30356e1a775d2957018e14e869ae8c,Aldo Vargas,2015-12-22,Added a filter before derivateAdded a filter before derivation to get a cleaner error signal.,"['utils.py,mw-hover-controller.py']"
bc3a5e81c0d7fdc0769081d2a0b8a06dbafc00c2,Aldo Vargas,2015-12-22,Filter declaration errorFilter declaration error,"['utils.py,mw-hover-controller.py']"
c5e228c0eec089d555ae4d6f66073510a812ba58,Aldo Vargas,2015-12-22,Height controller bugs 1Height controller bugs 1,['mw-hover-controller.py']
631898c139b77d13ac6d35dceda6c510f2a43db8,Aldo Vargas,2015-12-22,Height controller bugs 2,['mw-hover-controller.py']
1ca0616672307a6482e2c195944c676c935db61c,Aldo Vargas,2016-01-05,Small error...,['mw-hover-controller.py']
601a728955d218945e38b8aa958e9e2eb683970b,Aldo Vargas,2016-01-07,Bugs after first flightRate limiter needed.,"['UDPserver.py,mw-waypoint.py']"
41318e0f506b8f71bb288d58b63291020ce3d068,Aldo Vargas,2016-02-03,PID set point updates - DK2.0 updatesMaking the error calculation before calling the update PID function.Extra drone kit 2.0 changes to a couple of scripts.,"['README.md,utils.py,mw-hover-controller.py,pix-joystick.py,pix-showdata.py,pix-takeoff.py']"
8770c7f13469ca1c4e14b0049796f0366ff75a1b,Aldo Vargas,2016-02-03,Fix heading bug and test new timing loop,['mw-hover-controller.py']
bb327b9a89fccc04ddd35acc28558123fd97094e,Aldo Vargas,2016-02-24,Bug sonar and integration thread,"['sonar-test.py,mw-height-controller.py']"
cf8a2cf919fea3265d3e06a359a4d56fa679ece5,Aldo Vargas,2016-02-24,bug2,['mw-height-controller.py']
59143a3037eab3754a72bc92fe6f132fe3f4bdbc,Aldo Vargas,2016-02-24,bug3,['mw-height-controller.py']
18ba89c1209878ec026802c5ff7cb9b04b3fd27f,Aldo Vargas,2016-02-24,bug4,"['altimeter.py,mw-height-controller.py']"
675317da31592545d6ce4fee2a0387338b365af3,Aldo Vargas,2016-02-24,bug5,['altimeter.py']
c6eff31364287b4d809ad9631a4a4dbd5b131915,Aldo Vargas,2016-02-24,bug6,['altimeter.py']
a489bf7cfeeca91009756351e90290945aac58de,Aldo Vargas,2016-04-20,Bug corrections and new trajectory,"['utils.py,mw-slung-load-trajectory.py,mw-slung-load.py,mw-trajectory.py']"
992e1ba06e4bd7fad14d8827a445904ae8fb310e,Aldo Vargas,2016-04-21,Bugs,"['utils.py,mw-trajectory.py']"
ffeb6a59d765c86e25c5f262527c3df27a56879c,Aldo Vargas,2016-04-27,bug,['mw-slung-load-trajectory.py']
d45ff2235e8336e2f2d3d62c5966a8ea082d9729,Aldo Vargas,2016-04-27,Bug on trajectory,['mw-slung-load-trajectory.py']
54917cf760bb1d4b09428c110cba02a554d4034f,Aldo Vargas,2016-08-11,Bug corrections,"['pixVehicle.py,pix-ground-control.py']"
4304e20b4367d618adaa6fb65a4299b4b2b62f7b,Aldo Vargas,2016-08-12,Bug fix,"['pixVehicle.py,pix-ground-control.py']"
4020e4185b702821eed308206b8f129108f78c27,Aldo Vargas,2016-12-14,Variable bug,['mw-slung-load-trajectory.py']
