Commit_ID,Contributor,Date,Message,Files
0848f85cd95f54b4d2e46951ade5224b7d27516e,Hasanga Somaratne,2017-06-06,Bugfix on landing routine,"['dronepool.py,mavparser.py']"
46d815b2bc8d8767c8790a1b9f40a683da293981,Hasanga Somaratne,2017-07-18,Bugfix on coordinates label not showing up in create modes,['app.component.html']
752ef570c7dbd9a43c987918810fcec058ca486b,Hasanga Somaratne,2017-07-18,Bugfix on sending waypoints to backend,['drone-data.service.ts']
e9f135c733bc025315dcfea60316c4d9562fbd78,Hasanga Somaratne,2017-07-23,Retry when connetion error,['node.py']
e5538c43ffc32281147d93e08beba5a1b1bf6926,Hasanga Somaratne,2017-07-26,Bug fixes,['dronepool.py']
bd4424bfdf07c1af76cf77e4df4ab3525c1939fe,Hasanga Somaratne,2017-07-26,Bugfix on resume logic,['dronepool.py']
9a5a44110ffd879345f53ee301b0948590e528d9,Hasanga Somaratne,2017-07-28,Bug fix on resuming flight,"['dronepool.py,mavparser.py']"
e373b87910c8ba37cdf2dd304cd7c2646f24bf19,Hasanga Somaratne,2017-08-06,Bugfix on executing request twice,['auth-http.service.ts']
955364867a76b71e6198bd18f941ed7f0ea8bfa4,Hasanga Somaratne,2017-08-06,Bugfix on deleting drones,['dashboard.component.ts']
e7ba997cb14f9acdcb8df661eed78aa0b1879c54,Hasanga Somaratne,2017-08-09,Bugfix on selecting drones,"['drones-box.component.html,drones-box.component.ts']"
22b175a5885da3681b233371d216f27bf3afea72,Hasanga Somaratne,2017-08-09,Update python requests version to fix openssl v3 error,['requirements.txt']
51e60650cb7926ba0c81d5a341774babf9368adc,Raveen Harith Perera,2017-08-09,Merge pull request #35 from hasa93/developMinor bugfixes,['']
9d70c695ec54a519cbc5b686e22dc1cab284798b,Hasanga Somaratne,2017-08-23,Minor bugfix,['user-view.component.html']
d95be3154113b7191b15f63a8e430e16792e58a7,Oshan Mudannayake,2018-03-26,Fix package.json errors,"['package-lock.json,package.json,package-lock.json,package.json']"
f99d3c65dbcd02450680d0c817aadb9d90bf1c48,Jakub Mularski,2018-10-31,Now it must be the last error in linter,['drone_functions.js']
765667437a63d2825e4df1e78c8b966c91ec278c,Daksh Miglani,2018-12-10,"Fixed import errors and updated to support python 3- Imported queue as queue to avoid import error- Enabled backward compatible flask serverUpdated main.pyRemoved useless importMade the npm build more cleanRemoved depricated use of open() + made port flexibleRemoved the warning to get a clean build:  DeprecationWarning: `open()` is deprecated in mongoose >= 4.11.0 by declaring the boolean value of Mongoclient as true.What I personally encountered... I was running another server on port 3000, Thus when I was setting up Dronesym, I got an error of port already being in use, So I made a global variable named port, and added string concatenation to console the running port into the terminal. If users already have port 3000 in use, then they could just change the value of variable in /dronesym-node/index.js.Added missing instruction of running mongodMost of the people including me forgot to run ```mongod``` in one terminal, and then execute ```mongorestore --db dronesym dronedb/dronesym```, So I've added an instruction step.Added latest and more supportive version of flaskAdded E2E tests for Login authorization 1. Checks URL redirection vulnerability (security purpose).2. Checks Server's availability.3. Checks Login authorization through admin's account.4. Checks the dashboard appearance on putting correct credentials.5. Logs out of admin's account 6. Checks Login authorization through admin's account.","['README.md,WiredTiger,WiredTiger.lock,WiredTiger.turtle,WiredTiger.wt,WiredTigerLAS.wt,_mdb_catalog.wt,collection-0--2321288784840600282.wt,collection-0-7301280593392019203.wt,collection-2--2321288784840600282.wt,collection-2-7301280593392019203.wt,collection-4--2321288784840600282.wt,metrics.2018-11-04T20-24-09Z-00000,metrics.2018-11-04T20-24-37Z-00000,metrics.interim,index-1--2321288784840600282.wt,index-1-7301280593392019203.wt,index-3--2321288784840600282.wt,index-3-7301280593392019203.wt,index-4-7301280593392019203.wt,index-5--2321288784840600282.wt,WiredTigerLog.0000000002,WiredTigerPreplog.0000000001,WiredTigerPreplog.0000000002,mongod.lock,sizeStorer.wt,storage.bson,conf.js,test.ts,index.js,package-lock.json,dronepool.py,main.py,requirements.txt,package-lock.json']"
1a9967459552688495c9d893762d0fd0878be692,Oshan Mudannayake,2018-12-19,Merge pull request #120 from rohancl/developFixed import errors and updated to support python 3,['']
32fa901484480e796124200099f1c7590a96ad52,meetcric,2019-03-02,bug of user-group,"['user-management.component.ts,user.service.ts']"
065b6493db0881cf282b42e6cd6e5c3b969ed431,meetcric,2019-03-02,bug of user-group,"['userCtrl.js,group.js,userRouter.js']"
5480b0772e78c0e2fa5b372f80d07dd717ff4e7f,Oshan Mudannayake,2019-03-03,Merge pull request #178 from meetcric/42Solve the bug on group's-user,['']
55196efc53d5d922b1d5cef663d5516c49d6960d,Dilina,2019-04-01,Bug on Logo,"['user-dashboard.component.html,user-view.component.html']"
42ec6a27937d35723ad875cf390b1d083516ef74,Oshan Mudannayake,2019-04-01,Merge pull request #252 from dilinade/LogoBugBug on Logo,['']
