Commit_ID,Contributor,Date,Message,Files
1f0450c1fe13aeb987395260af123824041ed875,maxpautsch,2018-08-26,last bugfixed after test on target,"['Valetudo.js,index.html,WebServer.js']"
de34943a2b9a7c288a4810397f20c5745f92d212,Hypfer,2018-12-21,Valetudo 0.0.9* New zoomable/draggable map (see /zone)    * Including a box that displays the clicked coordinates* Fixes for missing maps (Error 500)* Initial support for Gen2 FW >1518 maps with patched rrlogd. No virtual Wall support yet### Breaking Changes* Config file location moved to /mnt/data/valetudo/config.json,['package.json']
fc21a93bcfff0c69f84bb93cc02410ecadbfb74a,PBue,2018-12-23,Fixes problem while adding a zone to an existing area,['index.html']
647984926e59dae67a2b6e60cfe258f0f44d9f71,eahlstrom,2019-04-05,bugfix hh:mm:ss calculations for cleaning history.Before this 4156 secs got display as 1:69:16 now it shows 1:09:16,['index.html']
3773547701373613c8fcd6d3ff685a1d2188dc08,Ondřej Nový,2019-04-27,"Fix #187, /api/current_status returns human_error",['Vacuum.js']
91f751e4aec27862acfe0b199f149259db933318,Ondřej Nový,2019-04-27,"Fix race condition in manual control start/stopSometimes, just after pressing ""Start Manual Control"", client sendsstop_manual_control API request. It looks like there is smallrace-condition. If you ask for vacuum state just after starting manualcontrol, robots reports state != 7 (!= manual). Some problem is withstopping. Robot reports state = 7 for few x00 ms after pressing stop.This patch changes two things:* don't send API request to start/stop vacuuming when buttons are notclicked (information about state is read from robot) - just update UI* postpone refreshing of vacuum internal state just after clickingbuttonsTested on firmware Gen2 1768.",['index.html']
fce79de1f687388897f1740b45b38660a3ca03a2,Ondřej Nový,2019-04-28,"Always show error if there is anyRobot can be in normal (for example Charging) state but there couldstill be some error. For example try remove dust bin and press ""Start"".Robot will be in Charging state, but error_code will be > 0.",['index.html']
a9ac38a8343198e8eb2deb704d0a088d3d68bc36,r1sim,2019-05-28,Improved file upload & error handling,"['index.html,WebServer.js']"
c31a7ea1ecd7cce8169a920938a20a8f5834d6ad,Ondřej Nový,2019-06-06,Fix ReferenceError: err is not defined,['WebServer.js']
24b874d8c7444884451c9ccceecf138fd034ce7c,Hagen Fritsch,2020-02-11,Fix bug mentioned in #420.,"['MiioDevice.js,Roborock.js']"
8b19be4efd1cff4f3e3ea6d2fee70ed009967d66,Hagen Fritsch,2020-02-14,Fix lint errors.,"['fakerobot.js,index.js,MqttClient.js,Valetudo.js,ViomiMapParser.js,MiioVacuum.js,Roborock.js,Viomi.js,Dummycloud.js,MiioSocket.js,Model.js,RetryWrapper.js,Status.js,WebServer.js']"
c8832526d8531b5098eb427b2b615a6377e9bbd1,Hagen Fritsch,2020-02-16,Viomi: add initial support for some error states. poll map regularly.,"['Viomi.js,MiioSocket.js']"
5d690d648097f9de08cf8227e5885da021441c2d,Hypfer,2020-02-17,Properly handle requests with error response,['MiioSocket.js']
d3237ee8298e2f01dbfe011451d7642160d024e4,Hypfer,2020-02-17,Add some startup info messages for easier debugging,['Valetudo.js']
96d8421f4c6fa403c468192b6e009da7854f07a3,Hagen Fritsch,2020-02-22,index.html: fix js errors when map page isn't loaded yet,['index.html']
61e01cc3262825c8eca105f0076fe9d8cf064b6a,Hagen Fritsch,2020-02-22,Fix remaining eslint errors.,"['forbidden-markers-configuration-map.js,home.js,index.js,manualcontrol.js,map.js,settings-access-control.js,settings-carpet-mode.js,settings-cleaning-history.js,settings-consumables.js,settings-info.js,settings-persistent-data.js,settings-sound-voice.js,settings-timers.js,settings-token.js,settings-wifi.js,spot-configuration-map.js,zones-configuration-map.js,zones.js']"
fd23959422bfe92b6c4e520c0cd438acaa062cad,Hagen Fritsch,2020-02-22,Fix type errors in settings-persistent-data.js,"['settings-persistent-data.js,global.d.ts']"
a20d5d0ba1427d1c3e7f3b7b4841286e51c07f1f,Alexander Knöbel,2020-02-25,Fix typechecking errors (#445),"['jsconfig.json,Configuration.js,MqttClient.js,Valetudo.js,Roborock.js,WebServer.js']"
9714fa261bb8cd33006ee05b198449b39556890a,Hagen Fritsch,2020-02-26,Make 'timeout' proper Error instances.,"['MiioSocket.js,RetryWrapper.js']"
64cde0fe76e9e10391fbbe6a8f3217b526112c7f,Hagen Fritsch,2020-03-11,Add more error descriptions and limit debug logging to less spammymessages.,"['ViomiMapParser.js,Viomi.js,MiioSocket.js']"
645398f8274a7f8f81de3c401721a4f576fb1c84,Hagen Fritsch,2020-03-11,Fix error descriptions.,['Viomi.js']
4534a7874a6b6c59be499a25e193374f97a41f12,Hagen Fritsch,2020-03-29,Only debug-log trace messages.,['Logger.js']
f6d423a1692b02fac724042606545f72635dd750,Sören Beye,2020-05-02,Update bug_report.md,['bug_report.md']
8c3866ec3876a7d40ecfe45a764f9194da3a7f1e,Alexander Knöbel,2020-05-04,refactor(mqtt): add more error handling,['MqttClient.js']
