Commit_ID,Contributor,Date,Message,Files
ae664011071afd1e6dda2aac8a3fbca37846285a,Ron Evans,2013-10-23,Merge pull request #4 from hybridgroup/connection-port-bugFixes issue with connection port not being found in adaptor.,['']
08da7d3390108a7fc73af3ee4eff822bd849289d,deadprogram,2013-10-26,Some logging for debug mode only,"['connection.js,device.js,robot.js,connection.coffee,device.coffee,robot.coffee']"
9b2b405f0d3579252585ccd28d8ebe4596557c33,Andrew Stewart,2013-11-05,Correct bug with defineEvent(),"['basestar.js,basestar.coffee']"
239056fa65e81d359590874c6fea06d0e2aa5a9b,Edgar O Silva,2013-11-06,Fix bug in GPIO example.,"['digital-pin.js,pure_gpio.coffee,digital-pin.coffee']"
0b02822f6adf7dcbdda047d20afaee42935648d1,Edgar O Silva,2013-11-06,Added debugging log to unexport pins command.,"['digital-pin.js,digital-pin.coffee']"
7543f834e4236c85d320911691473c64a2fb3fd3,Andrew Stewart,2013-11-06,"Merge branch 'master' into literate-coffeescript* master: (21 commits)  Removes unnecessary IO class.  Fixes raspi button example typo.  Updated DigitalPin and raspi_button example.  Adding interval reads to digitalRead.  Added new Digital read example for raspi, updated digitalRead in lib.  Refactored DigitalRead and setup mode to only emit connection event on connect.  Added new DigitalPin to Cylon core to use in adaptors, for real.  Added new DigitalPin to Cylon core to use in adaptors.  Added new example for raspi adaptor.  Updated digital pin lib and example.  Fixed missing mode variable in digital pin.  Remove logging and update example.  Change events and update example in digital pin.  Added close for GPIO and updated negative ifs  Change event triggers in callbacks to fat arrows to keep obj scope.  Removed self and changed example.  Updated IO and digital pin to use events.  Fix bug in GPIO example.  Adde pure GPIO example and updated digital pin lib  Added new LinuxIO DigitalPin library.  ...",['']
da5cb27c21452f203daf7db81c57b8884925dde6,Andrew Stewart,2013-11-08,"The Future's So Bright, I Gotta Wear ShadesI apologize for this commit message but cylon-specs + this was just too perfect.Anyways, have gotten Cylon robot specs working now. For some reason by the timethe spec runner gets around to running cylon.spec, inside cylon.js Robot hasbeen redefined to an empty object '{}'.This resulted in a ""TypeError: object is not a function on constructor"" error.So to solve this I moved the require() for 'robot' inside the Cylon.robot()method. This shouldn't reload code thanks to Node's require cache, but willproperly assign Robot when instantiating a new one.","['cylon.js,cylon.coffee,cylon.spec.js,cylon.spec.coffee']"
c47e3db26d2ce952da906630d2337b40e830c2f8,Edgar O Silva,2013-11-11,Fox indenting error.,"['digital-pin.js,digital-pin.coffee']"
c28e99efeeb82d1fa78ae48fc66d4282bfbf988e,Andrew Stewart,2013-11-15,"Merge branch 'master' into literate-coffeescript* master: (31 commits)  Do not run travisci on site code  Allow for any HTTP verb on device command  Pass event payloads correctly in Basestar  Fix typo in path call.  Remove @self references in favor of just @ and fix set mode to udpate the obj attr when actually changing the mode.  Add missing param emitConnect.  Fx missing param in setModeCallback.  Refactor digital pin.  Updating unexport path to use function call.  Make sure the pin mode is setup even if the file already exists.  Fixes disconnect pins by making last IO calls sync and validates for existance of pin files.  Fixes issue with undefined path in digital pin.  Added pin number to emit close event.  Fox indenting error.  Refactor GPIO file paths, added validation to check for existance of GPIO pins (they have already been setup), added new sync disconnect.  More consistent internal representation of components  Clean up tests  Properly organize supporting classes for tests  Simplify readline setup for Windows users  Add tests for Cylon#findRobotConnection  ...Conflicts:	dist/api.js	examples/sphero_multiple.coffee	src/api.coffee",['']
41313329640423dd51521519cda68331e32987cc,Andrew Stewart,2013-11-15,Fix variable naming error,"['api.js,api.litcoffee']"
372dde00783f4db0b5168dc2fcf71fbd7a8a6bdc,deadprogram,2013-11-23,"Refactoring adaptor and driver initialization to simplify, and fix init overwrite error","['connection.js,device.js,robot.js,connection.coffee,device.coffee,robot.coffee,connection.spec.js,device.spec.js,connection.spec.coffee,device.spec.coffee']"
dbfa4f859e78bc16d65f08180b3cfbc00331bef5,Andrew Stewart,2013-11-26,"Merge branch 'master' into literate* master:  Update to version 0.6.0  Execute robot commands from api  Replace api.litcoffee with api.coffee  Replace api.litcoffee with api.coffee  Docs corrections  Refactoring adaptor and driver initialization to simplify, and fix init overwrite errorConflicts:	src/api.coffee",['']
1e2527ede9e61d3064d7a5bfa9afb3a7c7b0aa9a,Andrew Stewart,2013-11-27,Add Literate version of Conway example and fix bug,"['conway_sphero.coffee,conway_sphero.js,conway_sphero.litcoffee']"
ad39fdaf8063f9776b02fc49c13d204595e9f930,Edgar O Silva,2013-11-27,Debugging digitalPin read.,"['digital-pin.js,digital-pin.coffee']"
2c52db8086c084078fa35ff05ec9300502eb36b9,Andrew Stewart,2013-11-28,Merge branch 'master' into literate* master:  Crazyflies  Updated servo examples to use a limit range of motion instead of full 180.  Update digital read to parseInt buffer response.  DigitalRead buffer data converted to string now.  Debugging digitalPin read.  Added servo example for Raspi.  Add more supported devices to README  Update to 0.6.1  Update digital pin close callback param.  Fixes err param not being passed.  Updated digital pin and added pwm raspi example.Conflicts:	examples/servo.coffee,['']
fa26ceb117cef8802dba99cf9dfcc86e7c0618bb,deadprogram,2013-12-28,Correct typos and errors in README,['']
3fde2c9a36edb41afcb771538cbf6844234c799d,Edgar O Silva,2014-01-24,Fix bugs and updated feedback messages.,['cylon']
3dd0870ff67a26fa4130e4bd10282a12a1f02cc1,Edgar O Silva,2014-01-31,Remove debug comments.,['cylon']
79b5e9947e2c6a7333537f83ee1b378dd34397e8,Andrew Stewart,2014-02-25,Fix bug with subclass helper,"['utils.js,utils.coffee']"
2acc07b4431555c521eeeb46943d097ab09c1ed6,Andrew Stewart,2014-03-25,Fix error with /robots route in API,['api.js']
337074f34f6fc008dbd6055e88a83d99966c9a74,Andrew Stewart,2014-03-26,Add friendlier errors when no adaptor/driver found,['robot.js']
4c647db88ff31074e57a677b62be5cc84c086431,Ron Evans,2014-03-26,Merge pull request #146 from hybridgroup/notify-of-missing-modulesAdd friendlier errors when no adaptor/driver found,['']
2563e62de40908e114f69c687f770a2c5ea06381,Andrew Stewart,2014-04-01,"Catch MODULE_NOT_FOUND errors, throw others",['robot.js']
de360ba2b3e7820d2bb8ae645ad414b1ce159d1b,edgarsilva,2014-04-01,Add error handler for devices that fail to initialize.Do not start work if devices fail to initialize and throw err insted.,['robot.js']
e664d6c5b934f6b1292b2b8b7a8616a64ebac7b4,Ron Evans,2014-04-01,Merge pull request #156 from hybridgroup/init-devices-err-failoverAdd error handler for devices that fail to initialize.,['']
283b05b08a27a5250fc31561f3b657f0dac4edc4,edgarsilva,2014-04-21,"Fixes bug with robot not halting, which caused connections, adaptors and devices to not disconnect.",['cylon.js']
050b20c945daa295897e9f66904f7defc8e9f50c,Andrew Stewart,2014-04-21,"Merge pull request #170 from hybridgroup/bugfix-disconnect-not-workingFixes bug with robot not halting, which caused connections, adaptors and...",['']
594c73dc601c3ace1819879e9ccf47f2f20d2704,Andrew Stewart,2014-06-10,Declare missingModuleError before it's used,['robot.js']
af8cfbe3333ef446bf8efc173698eca05981ad04,Andrew Stewart,2014-06-16,Fix JSHint errors,"['api.js,connection.js,cylon.js,driver.js,digital-pin.js,null_logger.js']"
6f42b061b311913f9e5de97d791bc68ce1d16dcb,Andrew Stewart,2014-06-17,Add #fetch Utility functionThe #fetch utility acts in (roughly) the same way as Ruby's Hash#fetch function.This addition should hopefully make constructors more rigorous and help toprevent a few classes of errors.,"['utils.js,utils.spec.js']"
ca2bf7e5a9a827c3bbd4352d74a7c464e754eabc,Andrew Stewart,2014-07-03,"Merge branch 'dev' into servo-level-up* dev:  Remove `self` references in favor of #bind  Stop using #fetch here for now, it just breaks tests  Just use arguments directly instead of array  Remove Utils#bind in preference of built-in fn  Consolidate logstring generation into private fn  Experiment with Utils.fetch in Driver class  Add #fetch Utility function  Fix JSHint errors  Fix an edge case and improve tests for API",['']
d0c29822ffc750eaa7587ce00dc235b01f435919,Andrew Stewart,2014-07-28,Correctly respond w/ 404 error,['routes.js']
50f3ece9230a2338bb714c32d81c751a53840037,Andrew Stewart,2014-08-01,Add basic error handling,['api.js']
ac737e51ba6e139bd930dab40e627ec1e56e6506,Andrew Stewart,2014-08-04,"Merge branch 'dev'* dev:  Bump version to ""0.17.0""  Update and lock Robeaux version  Add basic error handling  Simplify coercion of Robot to JSON  Correctly respond w/ 404 error  Add 'details' subsection to Device/Connection  Emit 'ping' when Ping is told to #ping  Add MCP commands route, fix /robots route  Only look for command params in POST bodies  WIP on Threepio changes  Namespace API routes under '/api'  WIP on commands + JSON serialization  Fix typo  Refer to device connections by name in JSON format  Remove connection_id from Connection class  Defer to Utils#fetch for getting ENV state  Slightly clean up Connection  Clean up robot initialization  Require a connection if a robot has any devices  Misc. small refactors",['']
14d8bbab000abe355590d202a1c615273d67d469,Andrew Stewart,2014-09-05,Remove base Adaptor#disconnect and Driver#halt fnsWould be more useful to module developers to loudly error rather than silentlynot work.,"['adaptor.js,driver.js,adaptor.spec.js,driver.spec.js']"
3ec6c2717a32b650d02fd41559130ef96d52c57e,Andrew Stewart,2014-09-08,"Switch to Logger.debug for default work, add test for #start return val","['robot.js,robot.spec.js']"
d865bac72bcfef5ed88b58a0f91b40318d5de669,Andrew Stewart,2014-09-30,Add error triggering,['robot.js']
3f9a7cf14892857a8465cc652383208983d3e92a,Andrew Stewart,2014-10-21,"Fixup some Browserify errors, indicate support in README","['README.markdown,robot.js']"
44075a1a30f339779a8bf2296e0d450fed22cf22,Andrew Stewart,2014-10-30,"Hook Repository class up, change-up module loadingCylon modules were previously styled something like this:    module.exports = {      adaptor: function(args) {        return new Adaptor(args);      },      register: function(robot) {        Cylon.Logger.debug(""Registering Firmata adaptor for "" + robot.name);        robot.registerAdaptor('cylon-firmata', 'firmata');        GPIO.register(robot);        I2C.register(robot);      }    };Now, they should be something more like this:    module.exports = {      adaptors: ['firmata'],      dependencies: ['cylon-gpio', 'cylon-i2c'],      adaptor: function(args) {        return new Adaptor(args);      },    };","['connection.js,device.js,repository.js,robot.js,loopback.js,ping.js,test-adaptor.js,test-driver.js,device.spec.js,repository.spec.js,robot.spec.js']"
1c922f02c1b8ae6384cf7388ebe38b0365aa2d26,Andrew Stewart,2014-10-31,Address bugs w/ connections,"['device.js,driver.js,robot.js,device.spec.js,driver.spec.js,robot.spec.js']"
277d4a51eef4d7ef46883455358dba41e1852e3b,Andrew Stewart,2014-11-06,Correct API errors,"['api.js,routes.js,connection.js,device.js']"
39f9c8b637ee9e96773e658e608f8e438a9a48b2,Andrew Stewart,2014-11-11,Fix up API errors,"['connection.js,device.js']"
29583c0bd59de1395dcf93dceb9ec435609aada3,Andrew Stewart,2014-11-28,Add back debug logging for device/connection start,['robot.js']
