Commit_ID,Contributor,Date,Message,Files
a9d41c6c646d68f9b91d0bfda72deca2faf3c258,Simen Svale Skogsrud,2009-01-29,tweaks and bugfixes,"['Makefile,gcode.c,motion_control.c,readme.txt,serial_protocol.c,stepper.c,stepper.h,todo.txt,wiring_serial.c']"
50a9f7808881f268a8e96e7f220f31a7da627d86,Simen Svale Skogsrud,2009-02-03,lots and lots of bugfixes after running on reals hardware for the first time,"['Makefile,arc.rb,theta.rb,config.h,gcode.c,gcode.h,geometry.c,geometry.h,unrolled_arc.c,main.c,motion_control.c,motion_control.h,nuts_bolts.h,serial_protocol.c,serial_protocol.h,stepper.c,stepper.h,echotest.rb,gcodetest.png']"
df271c82dadffa63fcbc80f49d2a06eb058d7e83,Simen Svale Skogsrud,2010-01-05,fixed en operator precedence bug with step mask calculations,"['config.h,stepper.c']"
a42c03601d6ee7dc4267fce5293ad53c0500cffa,Simen Svale Skogsrud,2010-02-27,"Fixed a number of bugs caused by using abs() on floats and long ints. Added support for selectively inverting bits of the stepping port. Debugged, optimized and cleaned up timing code for the step-pulses.","['Makefile,config.h,gcode.c,braid_two_decimals.gcode,miller.gcode,geometry.c,main.c,motion_control.c,console,stream.rb,serial_protocol.c,stepper.c,stepper.h,wiring_serial.c']"
551b4ed274c5801ac501575bb00f081c5fb9b7b3,Simen Svale Skogsrud,2010-02-27,fixed a problem with the direction-pins,"['config.h,stepper.c']"
36fd3a9bfbc858997b297983569112dc9e223e68,Simen Svale Skogsrud,2010-03-02,"improved the serial protocol, added some debug pins for a while","['main.c,motion_control.c,serial_protocol.c,stepper.c']"
d0f64d8f65923be9abd16139f185ce2d374ecaba,Simen Svale Skogsrud,2010-07-03,fixed the inches->mm conversion bug and some general cleanup,"['config.h,gcode.c,serial_protocol.h']"
23da1ffa46727c9eb7c32bfc5443f01551b13aea,Simen Svale Skogsrud,2010-07-08,Merge branch 'bugfixes',['']
4869e7b1ccc0e3e69cedbe7008f7ec067571dfb4,Simen Svale Skogsrud,2011-01-24,reallocated debug pin to time replanning,"['stepper.c,stepper_plan.c']"
f5cf3195a8ede30c72e2fb0fee3fe54a8cfb12f9,Simen Svale Skogsrud,2011-01-31,probably fixed a bug that would crash grbl after ~20 commands,['stepper_plan.c']
e68e9cdf7c65f6c4448413fc04cc0b039caeef19,Simen Svale Skogsrud,2011-02-03,ousted numerous small bugs in acceleration-planner,['stepper_plan.c']
b44577f69f136d254ee594eec39a47a395c40ae7,Simen Svale Skogsrud,2011-02-03,small error in trapezoid-calculation,['stepper_plan.c']
59a9b640876c4abb8a25560cde99fd403f6b4f59,Simen Svale Skogsrud,2011-02-04,"removed a grave little bug in the planner and added a baseline safe speed so that motion sequences do not attempt to go to speed 0, but to a safe, higher speed based on the max_jerk setting","['stepper.c,stepper_plan.c,stepper_plan.h']"
9f5365aac9ed8b79e767d8a811fa1a01f74ce75d,Simen Svale Skogsrud,2011-02-04,fixed a bug where F-commands never would modify feed-rate of G0-operations,['gcode.c']
682e23eb7b1fc46fb9d9e99b96f780ab398cd571,Simen Svale Skogsrud,2011-02-05,added error messages and dropped echoing of command input,"['gcode.h,serial_protocol.c']"
041a8b8a3ff526477b98f09f5def6589b4e5efee,Simen Svale Skogsrud,2011-02-07,purged debug code,"['stepper.c,stepper_plan.c']"
9b022a6f4faf6e3786ed904547b011dcfb78832c,Simen Svale Skogsrud,2011-02-10,minor tweak eliminates 'ok' message after errors,"['console,serial_protocol.c']"
c5e0285e80291641ff2e729bd759bd8f170ed367,Simen Svale Skogsrud,2011-02-10,eliminated som debug code,['stepper.c']
fb5db05b6dc16f2975ec7026ba4c426a4da20f8e,Simen Svale Skogsrud,2011-02-10,eliminated some more debug code,['main.c']
ef61efbf704af5ca736e87905155fefedea8be83,Simen Svale Skogsrud,2011-02-11,makes sure steppers cruise at exactly nominal rate to eliminate rounding errors. Possibly fixes the problem where some moves have a long tail of slow steps. (Untested),"['planner.c,stepper.c']"
dce597be45b0cb054159055aeb9d9919e4785b82,Simen Svale Skogsrud,2011-02-11,corrected the handling of status codes so that 'ok' will not be default response in the event of an undefined error code (untested),['serial_protocol.c']
c02a6e23664511b01f0d7859c4432c79a3050feb,Simen Svale Skogsrud,2011-02-16,"possible improvement on the long, slow tail problem",['planner.c']
1ed2195e11c4aae1797b49fae2ed8c7883d5b3ed,Simen Svale Skogsrud,2011-02-16,a new (slightly inelegant) stab at eliminating the slow tail problem,"['planner.c,planner.h,trapezoid_simulator.rb,stepper.c']"
31635481ad10a483427067a79307c1f9a3dd117f,Simen Svale Skogsrud,2011-02-17,added informative error message for people building 0.6 for atmega168 (impossible),['main.c']
b8eee5ac9a403b84de4ddc86b824606e06390d8f,Simen Svale Skogsrud,2011-02-17,clamped safe speed to 100% of nominal speed. Fixes a problem that might have spelled trouble at very low feed rates,['planner.c']
60f417b57021d5d72ca1fd3cb8fa936b842f96e0,Simen Svale Skogsrud,2011-02-23,fixed a double rounding error compensation bug in mc_arc thanks to Etienne Chové,['motion_control.c']
4cac11ec86415cb364c8a15701c96e948cf5996d,Simen Svale Skogsrud,2011-02-25,fixed synchronization problem with spindle_control,['spindle_control.c']
f4c1cbac3c5e0ddfbdd4e9d095420f8b11a4eded,Simen Svale Skogsrud,2011-05-31,added a fix for division by zero errors that would occur on very low feed rates (thanks to Arthur Wolf for hardcore investigation),['planner.c']
c3fda5ac211cff8b02d011a9ddde50ae8f29ed75,Simen Svale Skogsrud,2011-06-05,fixed a bug where the default step mask would not actually reflect the real pin out,['settings.c']
5466bc0c33e9be6d94bff2485e6fb697413bdec6,Simen Svale Skogsrud,2011-07-10,fixed a nil dereferencing bug in planner_forward_pass_kernel thanks to jv4779,['planner.c']
d3f1f82e5f65e83198b3ef0f013ed7c77dbc120d,Brian Boucheron,2011-07-17,added error message for step pulses < 3 microseconds,['settings.c']
5f09dba95d21707ccf0a1a7261f75f0942f33ea8,Simen Svale Skogsrud,2011-07-19,Merge pull request #34 from beardicus/pulse_error_msgStep Pulse Error Message thanks to beardicus.,['']
ea5b8942db2616e93fc0478922010c3bab7c0481,chamnit,2011-08-15,"Moved comment and block delete handling to be done in protocol.c rather than gcode.c. Prevents these from being held in memory. Also, fixes bug when comments and block delete character are mixed with g-code.",['protocol.c']
a2837943c014590704e57bca8597b9d8654f1b17,Sonny J,2011-08-15,"Revert ""Moved comment and block delete handling to be done in protocol.c rather than gcode.c. Prevents these from being held in memory. Also, fixes bug when comments and block delete character are mixed with g-code.""This reverts commit ea5b8942db2616e93fc0478922010c3bab7c0481.",['protocol.c']
896a6b9199395eb9dbfd42134d84ba40a332eb36,Sonny J,2011-08-15,"Moved comment and block delete handling into protocol.c from gcode.c. Fixes bug when comment and block delete are not isolated. Blank lines ignored.Comments, block delete characters, and blank lines are no longer passedto the gcode parser and should free up some memory by ignoring thesecharacters. Gcode parser now expects clean gcode only. There was a bugif there were block deletes or comments not in the first character (i.e.spindle on/off for proofing geode without turning it on, or a NXXfollowed by a comment). This should fix it by bypassing the problem.Left a commented line for easily turning on and off block deletes for alater feature, if desired.","['gcode.c,protocol.c']"
badb638df925924c05b3b5e49880590e53faa759,Sonny J,2011-08-15,"Moved comment and block delete handling into protocol.c from gcode.c. Fixes bug when comment and block delete are not isolated. Blank lines ignored.Comments, block delete characters, and blank lines are no longer passedto the gcode parser and should free up some memory by ignoring thesecharacters. Gcode parser now expects clean gcode only. There was a bugif there were block deletes or comments not in the first character (i.e.spindle on/off for proofing geode without turning it on, or a NXXfollowed by a comment). This should fix it by bypassing the problem.Left a commented line for easily turning on and off block deletes for alater feature, if desired.","['gcode.c,protocol.c']"
5c2150daa9b6ca9c7f3be32f37907cf1f7b46f6f,Sonny J,2011-09-03,"Significantly improved junction control and fixed computation bugs in planner- Junction jerk now re-defined as junction_deviation. The distance fromthe junction to the edge of a circle tangent to both previous andcurrent path lines. The circle radii is used to compute the maximumjunction velocity by centripetal acceleration. More robust andsimplified way to compute jerk.   - Fixed bugs related to entry and exitfactors. They were computed based on the current nominal speeds but notwhen computing exit factors for neighboring blocks. Removed factors andreplaced with entry speeds only. Factors now only computed for steppertrapezoid rate conversions.  - Misc: Added min(), next_block_index,prev_block_index functions for clarity.","['nuts_bolts.h,planner.c,planner.h,settings.c,settings.h']"
5e2e935bda93d0923ffa385e9cafb7a751c65e34,Sonny J,2011-09-03,Minor bug fixes in planner.,['planner.c']
f1e5ff35ecf6dfd11c431e4e714c7bc6077ca52a,Sonny J,2011-09-04,"More minor bug fixes in planner.Reverse planner was over-writing the initial/buffer tail entry speed,which reset the forward planner and caused it to lose track of itsspeed. Should now accelerate into short linear segments much nicer now.",['planner.c']
ffcc3470a31411b63aa57d12cc58cc306a1fb660,Sonny J,2011-09-06,"Optimized planner re-write. Significantly faster. Full arc support enabled by rotation matrix approach.- Significant improvements in the planner. Removed or reorderedrepetitive and expensive calculations by order of importance:recalculating unchanged blocks, trig functions [sin(), cos(), tan()],sqrt(), divides, and multiplications. Blocks long enough for nominalspeed to be guaranteed to be reached ignored by planner. Done byintroducing two uint8_t flags per block. Reduced computational overheadby an order of magnitude.   - Arc motion generation completelyre-written and optimized. Now runs with acceleration planner. Removedall but one trig function (atan2) from initialization. Streamlinedcomputations. Segment target locations generated by vectortransformation and small angle approximation. Arc path correctionimplemented for accumulated error of approximation and single precisioncalculation of Arduino. Bug fix in message passing.","['gcode.c,motion_control.c,motion_control.h,nuts_bolts.h,planner.c,planner.h,protocol.c,grbl_preprocess.py,settings.c,settings.h']"
4d03c4febc94eaaaa6906a70c99ebb7c7e4947b1,Sonny J,2011-09-13,"Further planner improvements and misc minor bug fixes. Memory savings and increased buffer size.- Update grbl version and settings version to automatically reseteeprom. FYI, this will reset your grbl settings. - Saved3*BLOCK_BUFFER_SIZE doubles in static memory by removing obsoletevariables: speed_x, speed_y, and speed_z. - Increased buffer sizeconservatively to 18 from 16. (Probably can do 20). - Removed expensive!modulo operator from block indexing function. Reduces significantcomputational overhead. - Re-organized some sqrt() calls to be moreefficient during time critical planning cases, rather than non-timecritical. - Minor bug fix in planner max junction velocity logic. -Simplified arc logic and removed need to multiply for CW or CCWdirection.","['gcode.c,motion_control.c,motion_control.h,nuts_bolts.h,planner.c,planner.h,protocol.c,grbl_preprocess.py,settings.c,settings.h']"
6de805441fe00b436c1f44997df4034543164b50,Sonny J,2011-09-18,"Fixed minor bugs in planner. Increased max dwell time. Long slope bug stop-gap solution note.- Fixed the planner TODO regarding minimum nominal speeds. Re-arrangedcalculations to be both more efficient and guaranteed to be greaterthan zero. - Missed a parenthesis location on the rate_deltacalculation. Should fix a nearly in-perceptible issue with incorrectacceleration ramping in diagonal directions. - Increased maximum dwelltime from 6.5sec to an 18hour max. A crazy amount more, but that's howthe math works out. - Converted the internal feedrate values to mm/minonly, as it was switching between mm/min to mm/sec and back to mm/min.Also added a feedrate > 0 check in gcode.c. - Identified the long slopeat the end of rapid de/ac-celerations noted by stephanix. Problem withthe numerical integration truncation error between the exact solutionof estimate_acceleration_distance and how grbl actually performs theacceleration ramps discretely. Increasing theACCELERATION_TICKS_PER_SECOND in config.h helps fix this problem.Investigating further.","['config.h,gcode.c,motion_control.c,motion_control.h,planner.c']"
2be0d668722ed42af66a4bdab71cda672189ff73,Sonny Jeon,2011-09-24,"Fixed long slope at deceleration issue. Moved things into config.h. New MINIMUM_PLANNER_SPEED parameter.- The long standing issue of a long slope at deceleration is likelyfixed. The stepper program was not tracking and timing the end ofacceleration and start of deceleration exactly and now is fixed tostart and stop on time. Also, to ensure a better acceleration curve fitused by the planner, the stepper program delays the start of theaccelerations by a half trapezoid tick to employ the midpoint rule. -Settings version 3 migration (not fully tested, but should work) -Added a MINIMUM_PLANNER_SPEED user-defined parameter to planner to leta user change this if problems arise for some reason. - Moved alluser-definable #define parameters into config.h with clear comments onwhat they do and recommendations of how to change them. - Minorhousekeeping.","['config.h,gcode.c,motion_control.c,planner.c,settings.c,stepper.c']"
05ed6c122d16889a82ebaca6835a21676a6ed0e3,Sonny Jeon,2011-09-25,Updated some comments and fixed a bug in the new stepper logic.- The stepper logic was not initiating the decelerations for certaincases. Just re-arranged the logic to fix it.,['stepper.c']
6f27e2cdb1625657ccb8a96c3fbc9bd637f29170,Sonny Jeon,2012-01-09,Corrected a minor streaming script character counting bug.,['stream.py']
89a3b37e020aa4e657973baadb0ff0936aa25656,Sonny Jeon,2012-01-10,"Extended position reporting with both home and work coordinates. Home position now retained after reset. Other minor changes/fixes.- Grbl now tracks both home and work (G92) coordinate systems and doeslive updates when G92 is called.- Rudimentary home and work position status reporting. Works but stillunder major construction.- Updated the main streaming script. Has a disabled periodic timer forquerying status reports, disabled only because the Python timer doesn'tconsistently restart after the script exits. Add here only for usertesting.- Fixed a bug to prevent an endless serial_write loop during statusreports.- Refactored the planner variables to make it more clear what they areand make it easier for clear them.","['limits.c,main.c,motion_control.c,nuts_bolts.h,planner.c,protocol.c,stream.py,serial.c,stepper.c']"
d27dd13a54badd0f8ecb21b3c06dbde7a2ea8cd3,Sonny Jeon,2012-01-15,"Fix bug with premature step end. Refactored _delay_ms() and square() for better portability.- Fixed a premature step end bug dating back to Simen's 0.7b edgeversion is fixed, from which this code is forked from. Caused by Timer2constantly overflowing calling the Step Reset Interrupt every 128usec.Now Timer2 is always disabled after a step end and should free up somecycles for the main program. Could be more than one way to fix thisproblem. I'm open to suggestions.- _delay_ms() refactored to accept only constants to comply withcurrent compilers. square() removed since not available with somecompilers.","['config.h,main.c,motion_control.c,nuts_bolts.c,nuts_bolts.h,planner.c,stream.py,stepper.c']"
66d3155f2fbb160a238f5f0ac9ad96c75d7f38ad,Sonny Jeon,2012-01-15,"Propagated premature step end bug fix from the edge branch. Updated printFloat() function.- Will not be uploading a hex build of this, unless asked.","['print.c,stepper.c']"
0f0d5a6138b6a3edac20b150da318d5f637e4152,Sonny Jeon,2012-01-27,Streaming script argparse bugfix.,['stream.py']
b51e90253011e8628643e3fd37103f5192e726a5,Sonny Jeon,2012-01-28,"Program stop support (M0,M1*,M2,M30*), proper position retainment upon reset, misc minor updates.- Program stop support (M0,M1*,M2,M30*). *Optional stop to be done.*Pallet shuttle not supported.- Work position is set equal to machine position upon reset, asaccording to NIST RS274-NGC guidelines. G92 is disabled.- Renamed mc_set_current_position() to mc_set_coordinate_offset().- Fixed bug in plan_synchronize(). Would exit right before last step isfinished and caused issues with program stops. Now fixed.- Spindle now stops upon a run-time abort command.- Updated readme and misc upkeeping.","['config.h,gcode.c,gcode.h,main.c,motion_control.c,motion_control.h,nuts_bolts.c,nuts_bolts.h,planner.c,planner.h,print.c,print.h,protocol.c,protocol.h,readme.textile,serial.c,stepper.c']"
