Commit_ID,Contributor,Date,Message,Files
d40c4e1c04c8292063b57861c094fdedfcb8cfd1,Rick Waldron,2012-05-03,"Skip johnny-five.js when linting, per joshing bug 334Signed-off-by: Rick Waldron <waldron.rick@gmail.com>",['grunt.js']
3e6a9fa57d11ec7a24f9f83a10ac9d2d60fcf2b0,Rick Waldron,2012-05-11,Hard override of debug propertySigned-off-by: Rick Waldron <waldron.rick@gmail.com>,['board.js']
7b677d4cfcd48bae916bc27e20392cacdedac0a2,Rick Waldron,2012-05-11,"Update example programs, removes explicit debug paramSigned-off-by: Rick Waldron <waldron.rick@gmail.com>","['accelerometer-pan-tilt.md,accelerometer.md,board.md,slider-pan.fzz,button-options.md,button.md,claw.md,continuous.md,joystick-claw.md,joystick-motor-led.md,joystick.md,led-fade.md,led-on-off.md,led-pulse.md,led-rgb.md,led-strobe.md,motor.md,ping.md,pir.md,potentiometer.md,repl.md,sensor-slider.md,sensor.md,servo-array.md,servo-dual.md,servo.md,slider-pan.md,sonar.md,accelerometer-pan-tilt.js,accelerometer.js,board.js,button-options.js,button.js,claw.js,continuous.js,joystick-claw.js,joystick-motor-led.js,joystick.js,led-fade.js,led-on-off.js,led-pulse.js,led-rgb.js,led-strobe.js,motor.js,ping.js,pir.js,potentiometer.js,repl.js,sensor-slider.js,sensor.js,servo-array.js,servo-dual.js,servo.js,slider-pan.js,sonar.js']"
52c860f781a2d49c4ec5251ae88062821a4fd722,Rick Waldron,2012-05-14,Fix RangeError: Maximum call stack size exceeded in Led classSigned-off-by: Rick Waldron <waldron.rick@gmail.com>,"['led-strobe.md,led-strobe.js,led.js']"
959e99e0b50fe4bd14bd9981cfacd9684f5f82d3,Rick Waldron,2012-05-26,Improved handling of serial detection errorsSigned-off-by: Rick Waldron <waldron.rick@gmail.com>,['board.js']
5f2e9b85c3e40e1fe33a7e1e130f6adad91f135b,Ryan Neufeld,2012-06-29,Slider example that simply echo's the slider values to the terminal. Useful for debugging analog inputs,['slider-log.js']
277c3e87bb4ad22a8617605fc2d0350f9e0b9f7b,Mike Sherov,2012-07-08,LED api cleanup and bug fixes. Closes #14,"['navigator-joystick.fzz,led-fade.js,led-pulse.js,magnetometer-log.js,slider-log.js,led.js']"
9a2a3be3d05126888ebf5852e422c24f0a3d3cf9,Rick Waldron,2012-07-26,Commit bug.js programSigned-off-by: Rick Waldron <waldron.rick@gmail.com>,['bug.js']
d6423173740c4fe80d24ff1b51988d8a4393ecb7,Rick Waldron,2012-07-31,Fix Nunchuk read bugSigned-off-by: Rick Waldron <waldron.rick@gmail.com>,['nunchuk.js']
b15f5520f73f7958be27389e462d56609a6bc2c3,Rick Waldron,2012-07-31,"Fix Nunchuk read bug, pt2Signed-off-by: Rick Waldron <waldron.rick@gmail.com>",['nunchuk.js']
554161f1104b37ca5a1f75496b01023d893257e7,Rick Waldron,2012-08-19,Pass along errors from serialport/firmata to the ready callbackSigned-off-by: Rick Waldron <waldron.rick@gmail.com>,['board.js']
