Commit_ID,Contributor,Date,Message,Files
59368e95d77fe9694a603b16a703ea1836b81f99,Felix Geisendörfer,2012-09-28,New Client and bug fixes,"['README.md,index.js,Client.js,Repl.js,AtCommandCreator.js,test-AtCommandCreator.js,test-Client.js,test-index.js']"
9ead1ed41bb0af1582815c961204afbe4dea53a4,Felix Geisendörfer,2012-10-03,Allow catching navdata errors,"['Client.js,UdpNavdataStream.js,test-UdpNavdataStream.js,test-Client.js']"
3a95b6bed1fdc6a16550f53ea586de5ce04a6726,Felix Geisendörfer,2012-10-03,Delegate navdata error events if needed,"['Client.js,test-Client.js']"
c2c6615979cfd403ed44f0f760a626f855d4f34f,John Schulz,2012-11-11,Addressing spacing and syntax errors from a borked commit.,['parseNavdata.js']
d1d3dc5dbd855532e54b5bf17a5f5bc08bb789c5,John Schulz,2012-11-11,Remove detritus which is causing errors.,['maskingFunctions.js']
166a049060e6e7b275e010454f4cfe4e3742c79a,Laurent Eschenauer,2013-05-22,Fix uncatched errors when failing to spawn ffmpegFixes issue #44,"['PngEncoder.js,PngStream.js,test-PngEncoder.js,test-PngStream.js']"
7119cde22d00299dbbd178adfe765ef3b0baf3a8,Laurent Eschenauer,2013-05-23,Merge pull request #45 from eschnou/fix_44Fix uncatched errors when failing to spawn ffmpeg,['']
320c8d447e73b2287c47d1547a71457cb8e9968b,John Wiseman,2013-10-02,Fixed errors in GPS data definitions.* Fixed incorrect order of unk0 & data_available fields.* Fixed misspellings.* Many fields are actually arrays (this was causing a lot of fields tohave nonsense values).Based on https://github.com/paparazzi/paparazzi/blob/55e3d9d79119f81ed0b11a59487280becf13cf40/sw/airborne/boards/ardrone/at_com.h,"['NavdataReader.js,parseNavdata.js']"
b04f97c7276eded00e25011cb0ff68c0dae77237,Andrew Nesbitt,2013-10-02,Merge pull request #71 from wiseman/fix_num_satsFixed errors in GPS data definitions.,['']
a9f56a970397bbec4357253970d3f4e5bbf8ab62,Robin Mehner,2013-10-24,Merge pull request #82 from janpieper/jshintUse jshint to check code for problems and errors,['']
aa776a37d28ec3c488a1f6e1d6e6560ad90051b8,Ryan Schmukler,2013-12-09,"Updated to remove listener from socket, forward errors from socket to client",['TcpVideoStream.js']
dcfce2013cab8cd0194957ac2612effe665464eb,John Wiseman,2014-03-06,"Changed NavdataReader.char to call buffy Reader.char.This fixes the bug where char wasn't advancing the buffer pointer,causing bad parses of the magneto and kalmanPressure navdata options(issue #90).","['NavdataReader.js,test-parseNavdata.js']"
