Commit_ID,Contributor,Date,Message,Files
be300c5e05b6fb1d7efdbfd21b1a67267144bd59,Sean D'Epagnier,2019-06-11,improve debugging message,['calibration_fit.py']
c9f4c5928d7f5927369b49e9cea867bddd0ecf1a,Sean D'Epagnier,2019-06-11,improve debugging message,['calibration_fit.py']
6b59856172ec9e5faf028f850882c127731b0823,Sean D'Epagnier,2019-01-15,remove debugging print,['client.py']
6aee25a7674dc1af2b874504bb66ea23d142c671,Sean D'Epagnier,2018-06-11,correct tacking error,['tacking.py']
2edc742726ac08f751410fb24f86e3065b2459d2,Sean D'Epagnier,2018-06-11,correct lcd bug,['ugfx.i']
ee2e73a66be0779db4a9c2e88db0240c9f9ebde7,Sean D'Epagnier,2019-01-25,fix closing servo bug,['servo.py']
4c41cf4cb6ba36981ab51a6d28d230f51d75d556,Sean D'Epagnier,2019-03-21,better error output,['server.py']
22d60185106f0dcc193faa25ac07ef927dc9c035,Sean D'Epagnier,2019-03-23,improve error reporting,['nmea.py']
24b92836785fda44967ae29842ba140fe2316986,Sean D'Epagnier,2019-04-04,correct min/max and other errors,['servo.py']
c7d91558f9c856e0251978f9d2ed5b993ead393f,Sean D'Epagnier,2019-04-05,update rudder position and debug message better,"['autopilot.py,nmea.py,servo.py']"
a212e81645bbbdeb9a1aba24e776d9a824eb83a5,Sean D'Epagnier,2019-12-02,remove serial debugging,['pypilothat.ino']
4ebc7c5ed567b7102a328d6e9ca970c92806f2a9,Sean D'Epagnier,2019-12-17,correct errors,['calibration_plot.py']
f878f89d4935eb2bce9e75e2c1290c7adf5bcf50,Sean D'Epagnier,2019-12-02,remove serial debugging,['pypilothat.ino']
d6bdd1eb613278a4237c9180a8f554ecb2ec43e9,Sean D'Epagnier,2019-12-17,correct errors,['calibration_plot.py']
5be280d045fae485b442eb781ed7a1449bb621f5,Sean D'Epagnier,2019-06-11,correct pilot handling errors,"['autopilot.py,learning.py,simple.py,wind.py']"
4df571eb002b291682345820c82be4969d1f34bc,Sean D'Epagnier,2019-09-05,fix  tacking errors from before,['tacking.py']
b65f93350cdf4464c4a5991dfc888e29c8ed8bcb,Sean D'Epagnier,2019-06-12,correct a few code errors,"['autopilot.py,servo.py']"
66d2b81f52ce17a5c6e024369c7dc8c238964cc5,Sean D'Epagnier,2019-06-11,correct pilot handling errors,"['autopilot.py,learning.py,simple.py,wind.py']"
97401a3f2b61d9d2fb30b3b94a7b9a0c0dc60a5e,Sean D'Epagnier,2019-06-11,fix error loading persistent data,['server.py']
c550ab3f5a2d2ffe603cf8b9c07d1d38215bb37b,Sean D'Epagnier,2019-08-26,correct logic error,['servo.py']
391f6fd886ceee97ef3bcb971b2a241d270dade9,Sean D'Epagnier,2019-09-05,fix  tacking errors from before,['tacking.py']
4a85e7cd9a979ac6cf198311e2cc3555c58daf26,Sean D'Epagnier,2019-06-12,correct a few code errors,"['autopilot.py,servo.py']"
e13f0cbc07966feefcd3f90b661ac8a62836a66f,Sean D'Epagnier,2019-09-26,improve error message,['server.py']
bb6fce53d88c173dd160d6c6cba928f96d13409d,Sean D'Epagnier,2019-11-13,correct import and other errors for different pilots,"['autopilot.py,absolute.py,basic.py,learning.py,wind.py,resolv.py']"
74b0073eb03a05287c361179134a655b7620b7ee,Sean D'Epagnier,2019-11-23,correct slight error in true wind calculation for wind pilot,['wind.py']
a9a8e1ee5a52b7c2e4ff171d111fe0bcec0ea2e3,Sean D'Epagnier,2019-11-24,improve serial probe error message,['serialprobe.py']
f93fe4d264c4c84ef1a9fb72c4ce827cc7413fc3,Sean D'Epagnier,2019-09-26,improve error message,['server.py']
6b56af70d1f376e4b8f7fe7783073daf55967961,Sean D'Epagnier,2019-11-13,correct import and other errors for different pilots,"['autopilot.py,absolute.py,basic.py,learning.py,wind.py,resolv.py']"
75774aafa970f41f70d962350bd303cd87ed9fba,Sean D'Epagnier,2019-11-23,correct slight error in true wind calculation for wind pilot,['wind.py']
fbd0d11d091a1c545c65be862f02867fd162c34d,Sean D'Epagnier,2019-11-24,improve serial probe error message,['serialprobe.py']
474212dbb2b2716f6968b7aa0a41813bfbef0132,Sean D'Epagnier,2019-06-12,improve calibration display and debugging,"['autopilot.py,boatimu.py,calibration_fit.py,version.py,pipeserver.py,values.py']"
53e6b46e836beb0bb4a3297f42ab547ddc3e0076,Sean D'Epagnier,2019-06-12,improve calibration display and debugging,"['autopilot.py,boatimu.py,calibration_fit.py,version.py,pipeserver.py,values.py']"
b4545e07d17aeff920ce224b1dd8abc9cbfa4ac9,Sean D'Epagnier,2020-01-13,improve debugging,['serialprobe.py']
1718770306a605cd1f244923556660442bbe9064,Sean D'Epagnier,2020-01-13,correct problem of leveling,['values.py']
8e1270fbd6fd1454efee8626946ed2eac23f932d,Sean D'Epagnier,2020-01-13,small bug for python3 calibration,['calibration_fit.py']
386cfd9ece7a0207ea92dcc2d7423119469fcf90,Sean D'Epagnier,2020-01-19,remove debugging printf,['arduino_servo.cpp']
69702f28423aa7bcdf10ebfa21095d462340bb0d,Sean D'Epagnier,2020-01-28,hopefully improve calibration debugging and display,"['boatimu.py,calibration_fit.py']"
7e8cace6644803963fef793aaddcaa2cfe1d7db8,Sean D'Epagnier,2020-01-13,improve debugging,['serialprobe.py']
74d523d6820ecb36c0acdb4f0efb7e238226a543,Sean D'Epagnier,2020-01-13,correct problem of leveling,['values.py']
c60825226acbdfb45f62708a1670d5bee7690411,Sean D'Epagnier,2020-01-13,small bug for python3 calibration,['calibration_fit.py']
d144575a880f212561583ca13de9287a5cddf179,Sean D'Epagnier,2020-01-19,remove debugging printf,['arduino_servo.cpp']
552e58b5e8bfc56eadc9559f0b89a3bdcf46dada,Sean D'Epagnier,2020-01-28,hopefully improve calibration debugging and display,"['boatimu.py,calibration_fit.py']"
b4ab6411db1fa1728a066b18bd6e2e6bb3355c90,Sean D'Epagnier,2017-02-02,improve error reports,"['autopilot.py,boatimu.py,gpspoller.py,servo.py,servo_calibration.py,simple_autopilot.py,client.py,pypilot_control.js,index.html,client.py,server.py,values.py']"
7f5e195470df34b72123cd983728107f6749f3e1,Sean D'Epagnier,2017-04-29,remove debugging output,['compass_calibration_plot.py']
f1b4402e5957752d591835f510b207e8b2c5f3b8,Sean D'Epagnier,2017-05-21,improve calibration and error messages,"['autogain.py,autopilot.py,basic_autopilot.py,boatimu.py,calibration_fit.py,gpsdpoller.py,nmea.py,nmea_bridge.py,serialprobe.py,servo.py,simple_autopilot.py,pipeserver.py,server.py,values.py']"
8ba895f16ec9c78325da2c2c3d8b5ddfba1db3d6,Sean D'Epagnier,2017-07-04,"correct build issues, and bypp error","['Makefile,setup.py,ugfx.cpp']"
b6070e88731c368ea8d44a9c2064f02eaae6d066,Sean D'Epagnier,2017-07-07,add additional debugging prints,['boatimu.py']
5b309cc6d0c1cea056246aef4b4f65ae328e2705,Sean D'Epagnier,2017-05-15,disable debugging messages,['calibration_fit.py']
fd108cce7da80cb70dc8ec80b8f38a5f90e2c46b,Sean D'Epagnier,2017-06-15,"improve error reporting, and servo","['arduino_servo.cpp,arduino_servo.h,arduino_servo.i,autopilot.py,basic_autopilot.py,boatimu.py,calibration_fit.py,gpsdpoller.py,nmea.py,servo.py,pipeserver.py']"
b535980faf30dfbdae80d416af162e1fcca7e212,Sean D'Epagnier,2017-08-16,correct sleep bug resulting in high cpu for boatimu test,['boatimu.py']
3f4b1151b776137369eeada236504afa1c06fea5,sailoog,2017-08-26,fix syntax error and update dependencies in README,"['README,arduino_servo.cpp']"
f70656ee8b71e7c06ff525c4128c4f0b39b3be8e,sean d'epagnier,2017-08-26,Merge pull request #2 from sailoog/masterfix syntax error and update dependencies in README,['']
d00847e669c8013375022b13d0dfd8546dfb96b2,Sean D'Epagnier,2017-08-11,improve error display,['client.py']
eace3fd463608343d9a463732b0650359ed8700e,Sean D'Epagnier,2017-08-11,correct errors in mode change logic,['autopilot.py']
2ffa704e2a2c01fc9c3937dd8cb27ea00dbef398,Sean D'Epagnier,2017-09-11,correct filter error,['autopilot.py']
8337ac6ba0f1c3f74de96dab2d097bdb429cab26,Sean D'Epagnier,2017-08-11,correct nmea handling error,"['calibration_fit.py,nmea.py,serialprobe.py']"
c0a27ffa3ac16bafe8703c204a7365980ff887d6,Sean D'Epagnier,2017-08-11,"correct typos, and initial install problems","['client.py,boatimu.py,calibration_fit.py,servo.py,vector.py,client.py,values.py']"
fe08d3b6fe2dac9b661ebeeb66bd71dbdfd675c9,Sean D'Epagnier,2017-08-11,nicer cal error display,['client.py']
be4a48672af1ef8a005ade8b6448f7d40c7b1429,Sean D'Epagnier,2017-08-11,handle poll error better,['arduino_servo.cpp']
493fc7165c78a9de9ca4be67eec8bdef66aa7254,Sean D'Epagnier,2017-08-12,improve error message,['server.py']
c58d140c89d5742c1c50cb8b96f4b9644f9ec446,Sean D'Epagnier,2017-08-13,fix calibration fit for debugging,['calibration_fit.py']
819b4a73cb3223b3c11b27a9816c221c09107b50,Sean D'Epagnier,2017-08-13,correct for sigpipe errors,"['autopilot.py,nmea.py,server.py']"
5fc78ae9491036d41d25a0e20db2e2b2d3be8eec,Sean D'Epagnier,2017-08-13,update new gains and improve error message,['client.py']
e6bf6f09b9330ea67f935552ff718ec95763a216,Sean D'Epagnier,2018-02-01,try to reduce 3d fit errors,['calibration_fit.py']
27b2c7f97a411f084f8ec4579e43828bed5a44f0,Sean D'Epagnier,2017-08-11,improve error display for failed sensors,"['client.py,boatimu.py']"
87f2b3c6ac76a5a71e7b29d6116c698e5be14c27,Sean D'Epagnier,2018-03-13,correct bug causing calibration fit to fail for 1d and 2d fit and improve initial guess,['calibration_fit.py']
575bb94c53033656c49ea7bc79868f642b23776c,Sean D'Epagnier,2018-03-15,"report many more quaternion digits, and correct possible rounding errors in calibration display","['boatimu.py,values.py,compass_calibration_plot.py']"
5b371cf2c48fac21be3455e8374b80b01ae2c032,Sean D'Epagnier,2018-03-16,remove debugging print,['values.py']
3dc4ec7de9f5a0bff916c58b38eacea79a3f78fc,Sean D'Epagnier,2018-02-14,improve debugging message,['motor.ino']
047835666a44a791f0463bf3f555f37561adb768,Sean D'Epagnier,2018-02-16,resend config to recover from data errors each frame,"['PCD8544.cpp,PCD8544.h']"
ade76f19915eeebd5f61aaf1d12af3ca1b1807a3,Sean D'Epagnier,2018-04-20,fix buggy wxforumbuilder,['autopilot_control_ui.py']
f4dde0d7470f3144b4031ecb41e2ba7fa9dd39fb,Sean D'Epagnier,2017-08-12,"correct quaternion rounding error, and improve process cleanup","['autopilot.py,boatimu.py,calibration_fit.py,quaternion.py']"
2e32495e5150126fe54452846a93a24fbe80c4c4,Sean D'Epagnier,2018-06-18,add debugging,['client.py']
f677becd5e35ed318fe9d3b450eda8689de10aae,Sean D'Epagnier,2018-06-11,correct logic in reporting error,['client.py']
5d94d2a89654cb9788316d7e4dd90d7a4c9be8c4,Sean D'Epagnier,2018-06-11,correct exception on error message and improve debugging,"['calibration_fit.py,nmea.py']"
d4546e913f718312ac5939035ab855d33b7aef17,Sean D'Epagnier,2018-06-11,improve debugging on nmea socket lost,['nmea.py']
86601b70cd7ba9ba06606f5a691a72d0ace79bf9,Sean D'Epagnier,2018-06-11,improve debugging more,['nmea.py']
c38c2d08634e5b3572bdca750de35a9070479978,Sean D'Epagnier,2018-08-04,improve debugging,['server.py']
0af650c828de7b67c7d0d485d29149a320bdf7cd,Sean D'Epagnier,2018-08-27,increase xte max error,['nmea.py']
d065f32f258dde5895d91e932aa73a45cbd4f3ed,Sean D'Epagnier,2018-09-02,report errors in fuse bits,"['motor.ino,servo.py']"
292fe73dfc8540b2015be2a231c08e21f07598ab,Sean D'Epagnier,2018-09-29,fix indent error,['client.py']
db7219ac088a52f85abd6954f2db6c3199b37489,Sean D'Epagnier,2019-01-15,remove debugging print,['client.py']
6bc694e3cd29742c095ae1aa4461f777068ac5b0,Sean D'Epagnier,2018-06-11,correct tacking error,['tacking.py']
bea9f33a066a3ecfaad4321027385e62f24dedf7,Sean D'Epagnier,2018-06-11,correct lcd bug,['ugfx.i']
9246f8885e5f559932432c9bbdf17324afd180c9,Sean D'Epagnier,2019-01-25,fix closing servo bug,['servo.py']
c445ee91836be40c31000141e2afda3e7def4ed4,Sean D'Epagnier,2019-03-21,better error output,['server.py']
28be489453effdd6d88e34168ee7b46475b95dda,Sean D'Epagnier,2019-03-23,improve error reporting,['nmea.py']
57f40331acb235de196b3e32a5c5b578a98942c4,Sean D'Epagnier,2019-04-04,correct min/max and other errors,['servo.py']
56955fe89f4b9631ea4fbc1dea44fbd28e53692f,Sean D'Epagnier,2019-04-05,update rudder position and debug message better,"['autopilot.py,nmea.py,servo.py']"
7360fbf479ccf31d98db982bc294da184cc2d4df,Sean D'Epagnier,2019-06-11,fix error loading persistent data,['server.py']
d3af9ba8734eca4d8fcba0a0557860fd7b57ec3b,Sean D'Epagnier,2019-08-26,correct logic error,['servo.py']
