Commit_ID,Contributor,Date,Message,Files,Branch,Repository
7c46437065aed773467f0f0f0ab8aeddeebf9579,Sören Beye,2018-07-12,Initial commit,['LICENSE'],{'master'},Valetudo
32159ff0371671e3d55784477022919fff68b5c8,Sören Beye,2018-07-12,Updated version,['package.json'],{'master'},Valetudo
43aa0a7aaecd531a2f2ab77d56f4d6313bdf3f9c,Sören Beye,2018-07-12,Npm is weird.,['package.json'],{'master'},Valetudo
081b2aa59b5567bae0cc871b1fd1cf73db9afc89,Hypfer,2018-07-20,Fallback to GridMap if there is no usable live ppm map,['WebServer.js'],{'master'},Valetudo
6a570503fd1931b60bee48f52e7d68c5fcc6cc11,Hypfer,2018-07-21,Fixed path rotation if GridMap is used,['WebServer.js'],{'master'},Valetudo
431df94b02db310b30d415a48f89ab0ae8a8ae42,MeisterTR,2018-07-21,0.0.2,"['index.html,WebServer.js']",{'master'},Valetudo
13152b9b11d658f2d0773b80f4eeb9fcbfc8e59a,Hypfer,2018-07-21,Removed /api/map/full which was just a duplicate of /api/map/latest,"['index.html,WebServer.js']",{'master'},Valetudo
9c712074464b8300198a17f80581cffaf7ad43e8,Hypfer,2018-07-21,Bumped version number,['package.json'],{'master'},Valetudo
b2ba41189cefdaf25075b3f2e6002687117a7ac4,Hypfer,2018-07-21,Handle 0 byte maps + Logs,['index.html'],{'master'},Valetudo
1a2472d87b986952571eccfd32596317ad9f3809,Sören Beye,2018-07-24,Added support for encrypted archive maps and fixed missing paths (#4),"['index.html,WebServer.js']",{'master'},Valetudo
b6b3257b644d64cced262cc20714c27b3e60cab0,Hypfer,2018-07-24,Added charger icon to map,"['index.html,WebServer.js']",{'master'},Valetudo
8c0208f2249c0f7b1c99b3e5d3039bbd4580b0d7,Hypfer,2018-07-30,Fixed /mnt/data/rrlog regex for Gen 1,"['Vacuum.js,WebServer.js']",{'master'},Valetudo
3aa52a38e52123135504cb1e5047306da2e9630c,Benedikt Krueger,2018-07-30,added initial support for manual control,"['index.html,Vacuum.js,WebServer.js']",{'master'},Valetudo
d79d5180ac43a686e9ace1a7c446a49deaad7f4f,Benedikt Krueger,2018-07-30,- added left side menu entry for manual control- fixed touchscreen handling on manual control,['index.html'],{'master'},Valetudo
9564da8aa39ace5e92f197746d8cd54ff7f6f77b,Benedikt Krueger,2018-07-30,fixed touchscreen support for IOS devices,['index.html'],{'master'},Valetudo
e050387c850b75ead0920bd1e1ce21237153ab28,Hypfer,2018-07-30,Code cleanup,"['Todo.md,index.html']",{'master'},Valetudo
d0faddf37e0c85df06a705ae76e09a7452c7c12f,Sören Beye,2018-07-30,Bumped version number,['package.json'],{'master'},Valetudo
de276dd903e7ca12e2d878226e14503341d0828f,Flole998,2018-07-30,Add title,['index.html'],{'master'},Valetudo
3868ffd85c76795037e053fc173c1e5a7f2cdcec,Sören Beye,2018-08-11,Added oom score attribute,['valetudo.conf'],{'master'},Valetudo
7aa2b7076c04c7b329611de4ca600a24b365326a,Benedikt Krueger,2018-08-25,Added support for map generation as image (PNG) on the robot.,"['.keep,package.json,WebServer.js']",{'master'},Valetudo
29b7a5d40decf53a40b4febcfaa802f15a5bb62b,Benedikt Krueger,2018-08-25,Fixed directory handling on robot for temporary files,"['.keep,WebServer.js']",{'master'},Valetudo
ed4aa1e1090db14f0bbc561579e4b4450ef2a63f,Benedikt Krueger,2018-08-25,fixed client path for webserver,['WebServer.js'],{'master'},Valetudo
ddc1c5f74ec06d63d2438932220e369678998342,Benedikt Krueger,2018-08-25,applied some performance improvements,['WebServer.js'],{'master'},Valetudo
85e6c20cab25d9c0a0fd6cc0f1b80330eb49df4b,Benedikt Krueger,2018-08-25,"extended remote api for:- possibility to draw charger / robot / path- custom attributes (drawRobot, drawCharger, drawPath, scale, doCropping, border)","['charger.png,robot.png,WebServer.js']",{'master'},Valetudo
8235c4c4cd878d2397abd05b61a9da08d72660ad,Benedikt Krueger,2018-08-25,fixed path for asset images (robot and charger) for production package,['WebServer.js'],{'master'},Valetudo
ea65d2d2a558d5d57a41659c15c8df3345c39b6b,Benedikt Krueger,2018-08-25,fixed formatting,['WebServer.js'],{'master'},Valetudo
2bdc9c6d12897eb7b2a72c4ad4e31be7654c0479,Benedikt Krueger,2018-08-25,fixed timing issue (json response send before image is generated),['WebServer.js'],{'master'},Valetudo
712bcaefc3bfab4718f9fc4aae8181b7573c5394,maxpautsch,2018-08-26,added the following functionalities:- zoned cleanup- go to- spot clean- sound volume control,"['index.html,Vacuum.js,WebServer.js']",{'master'},Valetudo
e48c5c90d6077105c7860bc473d783ff40a3a88b,maxpautsch,2018-08-26,"added multi zone clean, online configuration of zones and go to spots, new location of config file and automatic generation of config file if not present.","['Valetudo.js,index.html,WebServer.js']",{'master'},Valetudo
8bdb58a7bf2fc419ed519b89ad51015917a373fe,maxpautsch,2018-08-26,added comments and fixed multi zone cleanup,"['index.html,Vacuum.js']",{'master'},Valetudo
1f0450c1fe13aeb987395260af123824041ed875,maxpautsch,2018-08-26,last bugfixed after test on target,"['Valetudo.js,index.html,WebServer.js']",{'master'},Valetudo
2e49705c4c4c6732feed5b0b5bf3b6520f026653,Sören Beye,2018-08-26,Bumped version number,['package.json'],{'master'},Valetudo
702c4bce6790dce415a50a363ae07e72933c9596,Benedikt Krueger,2018-09-01,"fix for goto position == 0 resulting in ""coordinates missing""",['WebServer.js'],{'master'},Valetudo
60a6ea29cf0614bb97710eb3124a75616bd4c932,Thomas MAUGIN,2018-09-09,ui: add icon and home screen for chrome,"['icon.png,index.html,manifest.json']",{'master'},Valetudo
e483c6607a9aaad2d75824f3d0f8c33e69dd21f8,Dario Ernst,2018-09-23,"Build automatically using travis-ci.Add a .travis.yml which will build valetudo using the latest nodejsversion and package it using pkg. Then, it’ll upload the resultingbinary as a github release.To nicely get all dependencies installed, add pkg as a dev-dependency topackage.json.","['.travis.yml,package.json']",{'master'},Valetudo
14b61df81b88552ad30f247176a36804f569e60e,Hypfer,2018-09-23,Setup Travis CI,['.travis.yml'],{'master'},Valetudo
1f872ee549afebcd33166c4743948a54c081fe94,Hypfer,2018-09-23,Bumped version number,['package.json'],{'master'},Valetudo
33b2d844a5bd4746140cc56e54553508be9f2e4e,Tobias Schaffner,2018-10-03,"Add a general info section with firmware versionAdd a general info tab for general information like type, firmwareversion and build to the settings page.Add firmware and build version to that tab.","['index.html,WebServer.js']",{'master'},Valetudo
d6fbc5d6efaba46ebaab916eafc9cc0fba010cf5,Tobias Schaffner,2018-10-03,Use fs.readFile instead of a cat call,['WebServer.js'],{'master'},Valetudo
c1a837c97173ef0ea1c9b890c876a87889debf7c,Tobias Schaffner,2018-10-03,Set remaining hours of consumables to zero if negative,['index.html'],{'master'},Valetudo
ac6b7026165dcb3400e3b4fe4579cc0bd3e8ff60,Felix Uster,2018-10-03,Added option to directly respond with the requested map image,['WebServer.js'],{'master'},Valetudo
43aa01f7728e8083909f975ae5906b03d81dba0d,Sören Beye,2018-10-03,Update WebServer.js,['WebServer.js'],{'master'},Valetudo
195dabed662edc3a37bf16915b8b1df3b03f6150,Hypfer,2018-10-03,Bumped version number,['package.json'],{'master'},Valetudo
93961828911d53f68a957ac9c8cb7e96c219f96e,Hypfer,2018-11-16,Add apple touch icon because manifest.json icons are not yet supported on iOS,['apple-touch-icon.png'],{'master'},Valetudo
5dfcafad2da78460ff5307da815b28bbfbf0d905,fcktrmp,2018-11-20,Added development / building script and documentation,"['Testing.md,HOWTO.md,config.json.example,env.example,run']",{'master'},Valetudo
2b38868bf5df113e6fe66788502c9822ef68b71c,fcktrmp,2018-11-24,fixes for GridMap handling,"['MapFunctions.js,WebServer.js']",{'master'},Valetudo
3ef2b6955d10e1e5cc4da8f2106fcef7a9d93e37,Hypfer,2018-12-09,Fix #50,['index.html'],{'master'},Valetudo
529070b2fe261c738c25f0b382a81961cd3df37c,Hypfer,2018-12-09,Bump version number to 0.0.8,['package.json'],{'master'},Valetudo
01a1ab3969d27419a80627063c9a7507d5b66efc,JohnRev,2018-12-19,Fix directory scanning,['WebServer.js'],{'master'},Valetudo
5fc8f401c180c14a70b5c95439544b5b2ee6cb83,Matthias Harrer,2018-12-20,Adds first version of zoom-/dragable map,"['geometry-polyfill.js,hammer.min.js,index.html,vacuum-map.js,WebServer.js']",{'master'},Valetudo
d74f081a047b0c6c6fbed42cf02785011500b1ec,JohnRev,2018-12-20,"Add a box that display the clicked coordinates  (#1)* Display tapped coordinates* Remove extra space","['index.html,vacuum-map.js']",{'master'},Valetudo
a6643a08bc9a87cf71bad3a348cdeb1a7d4f8f77,JohnRev,2018-12-21,Scan newest folder first,['WebServer.js'],{'master'},Valetudo
657dfa6f09b67b2e8733ef47c145fb73e4978787,JohnRev,2018-12-21,Update filename regex,['WebServer.js'],{'master'},Valetudo
0845ce1ba4d31eeaf723e21cae3744c638c0dc59,Andreas Schneider,2018-12-21,"Change config file location to /mnt/dataIf you flash a new firmware, the config in /etc/valetudo will be gone.We should use the persitant flash memory for that.","['Valetudo.js,WebServer.js']",{'master'},Valetudo
de34943a2b9a7c288a4810397f20c5745f92d212,Hypfer,2018-12-21,Valetudo 0.0.9* New zoomable/draggable map (see /zone)    * Including a box that displays the clicked coordinates* Fixes for missing maps (Error 500)* Initial support for Gen2 FW >1518 maps with patched rrlogd. No virtual Wall support yet### Breaking Changes* Config file location moved to /mnt/data/valetudo/config.json,['package.json'],{'master'},Valetudo
fc21a93bcfff0c69f84bb93cc02410ecadbfb74a,PBue,2018-12-23,Fixes problem while adding a zone to an existing area,['index.html'],{'master'},Valetudo
98a6288c9a5100c1bacac852ca2cb1120d4d3c89,Matthias Harrer,2019-01-06,replaces reading testdata for map / path with in-program testdata,['WebServer.js'],{'master'},Valetudo
1a57417c35465e637e34ea729224628bef8b30ae,Matthias Harrer,2019-01-06,refactor,['vacuum-map.js'],{'master'},Valetudo
fcd3dac936487aba47f026ae07bf8fdd8d28df83,Matthias Harrer,2019-01-06,improves zone drawing,['vacuum-map.js'],{'master'},Valetudo
967f891563803984c63d6ef161e9ff6ff7e98a90,Matthias Harrer,2019-01-06,converts app to es6modules,"['index.html,coordinate-transforms.js,map-drawer.js,path-drawer.js,tracked-canvas.js,vacuum-map.js,main.js']",{'master'},Valetudo
47db74c87c8752ab882e45fabb6ce99c939866c9,Matthias Harrer,2019-01-06,adds interactivity for zones,"['index.html,locations.js,tracked-canvas.js,vacuum-map.js,main.js']",{'master'},Valetudo
f860400e3fafcd6a33909578787908656851967a,Matthias Harrer,2019-01-06,adds npm build script,"['package-lock.json,package.json']",{'master'},Valetudo
e0cbbd45b456ae458d6e8f332bd2ccc2bf8c61d7,Matthias Harrer,2019-01-06,fixes panning inconsistencies,['vacuum-map.js'],{'master'},Valetudo
2b6835f562dc62e52fe7a08ef68140bf2773c19a,Matthias Harrer,2019-01-06,make map / path colors configurable via css variables,"['index.html,locations.js,map-drawer.js,path-drawer.js,WebServer.js']",{'master'},Valetudo
8ac910aed97813878fb3a4f955a576f38d3fb872,Matthias Harrer,2019-01-06,Adds some code documentation,"['locations.js,map-drawer.js,path-drawer.js,tracked-canvas.js,vacuum-map.js']",{'master'},Valetudo
e80a07f85fca50d1bd9bec1b999f1f773d80e346,Matthias Harrer,2019-01-06,displayed coordinates update when moving / resizing the zone,"['coordinate-transforms.js,vacuum-map.js']",{'master'},Valetudo
0bf5a4bccb2597f6b0aa9b70cf422e6813d339d1,Matthias Harrer,2019-01-06,uses valetudo map colors instead of xiaomi,['index.html'],{'master'},Valetudo
f082fa615f8026704dccfef3665e4852b488086e,Sören Beye,2019-01-06,Delete package-lock.json,['package-lock.json'],{'master'},Valetudo
09ab7c251bfab432b5c25ffcdaa40a3b624f8ca1,Matthias Harrer,2019-01-10,use relative path to api to allow hosting with subpaths,"['vacuum-map.js,main.js']",{'master'},Valetudo
39a79b98b3202b712c4853b87f7ec514c199ad53,Sören Beye,2019-01-13,Hopefully temporarily fix the build,['package.json'],{'master'},Valetudo
5455cace380833967695dedaf941ef4bbdb19de0,Sören Beye,2019-01-13,Lets try this againhttps://github.com/zeit/pkg/issues/603,['package.json'],{'master'},Valetudo
c1d2aba4f048ac64cf3f7f0eb1038e67df6e56d1,Benedikt Krueger,2019-02-10,Added Valetudo release number to Settings>Info,"['index.html,WebServer.js']",{'master'},Valetudo
4edeba5ae8d75e1437e17d5d171c48b540b0b16a,Benedikt Krueger,2019-02-10,"Fixed title of Settings>Info to ""Info"" instead of ""Wifi""",['index.html'],{'master'},Valetudo
05a66c20ddba66e2b8ce17143707e380e7d49265,Hypfer,2019-02-10,Fix #89 for Firefox,['index.html'],{'master'},Valetudo
a5794338e7daa37714707dd497e5e99c5744146e,Hypfer,2019-02-10,Valetudo 0.0.10,['package.json'],{'master'},Valetudo
be58ed5c7aaaa65eb756b122efdc01c884fa87a7,Benedikt Krueger,2019-02-16,made timer configuration intuitive- Added form for easy timer configuration- Added human readable timer interpretation,['index.html'],{'master'},Valetudo
a89c44f9fe8f3ac632c116a7a045e51c8fb33a75,Benedikt Krueger,2019-02-16,added timezone configurationadded dnd configuration,"['index.html,Vacuum.js,WebServer.js']",{'master'},Valetudo
5f468b9e6d9f5ad0585e5232e87fad1c4f67cdb2,Benedikt Krueger,2019-02-18,added carpet mode,"['index.html,Vacuum.js,WebServer.js']",{'master'},Valetudo
691659889411993daf9f50b07aa66931bb9b6ee0,Benedikt Krueger,2019-02-18,Added cleaning history to show up to 20 last cleaning runs of the vacuum,"['index.html,Vacuum.js,WebServer.js']",{'master'},Valetudo
4cb7c72c78b63406cecde37e960347bd89b230bd,Benedikt Krueger,2019-02-18,added AppLocale to Settings>Info,"['index.html,Vacuum.js,WebServer.js']",{'master'},Valetudo
52b2ee5c2f0a8c970ef03a2093134c2608285d18,Benedikt Krueger,2019-02-18,fixed typo,['index.html'],{'master'},Valetudo
50586c9361bcaeb85ffba425ceaa52022a73239f,Andreas Schneider,2019-02-18,client: Use max-with for carpet displayOtherwise you have to scroll on some mobile devices to read the test asit is wider that the screen.Signed-off-by: Andreas Schneider <asn@cryptomilk.org>,['index.html'],{'master'},Valetudo
ef2fb0e0534b7e50e88033f797471b29121cc73c,Andreas Schneider,2019-02-18,client: Add description for carpet modeSigned-off-by: Andreas Schneider <asn@cryptomilk.org>,['index.html'],{'master'},Valetudo
70d6aba9a9fd73bb21a17ad5b50e942d4d21090f,Matthias Harrer,2019-02-19,Integrate /zone map into OnsenUI- replace hammerjs by own implementation- removes zone/goto coordinates to eliminate dependency on html- allows to define multiple zones- allows to modify the zones,"['index.html,geometry-polyfill.js,hammer.min.js,index.html,locations.js,map-drawer.js,path-drawer.js,touch-handling.js,vacuum-map.js,main.js']",{'master'},Valetudo
7bd95f7c13cf3dd90787b85bfbd14ec02e6479a7,Hypfer,2019-02-19,#53 Add Support for Iphone X,['index.html'],{'master'},Valetudo
cbee8aeab692a281cf7072a77a90439efd2b1d29,Hypfer,2019-02-19,Bumped version Number to 0.2.0,['package.json'],{'master'},Valetudo
b40f62ab83d6358886615b63a2cc4337d749a477,Matthias Harrer,2019-02-20,handles window.resize event and appropriately resizes the map canvas,"['index.html,vacuum-map.js']",{'master'},Valetudo
bef7e390a25d03a3975e239246b957a80c8bf51d,Matthias Harrer,2019-02-24,Adds rudimentary display of zone coordinates to /zone again,"['index.html,main.js']",{'master'},Valetudo
ea8bab4910ee0b34797bccc4889a64c2895f2812,Matthias Harrer,2019-02-24,Adds drawing charger and robot again,['path-drawer.js'],{'master'},Valetudo
27e98c17b01fe76344a7e40cc5909dab92539185,Milan Pässler,2019-02-24,account for vertically flipped map when drawing robot,['path-drawer.js'],{'master'},Valetudo
4400ddd73c87d302d676d62af002db110b0097b4,Milan Pässler,2019-02-24,prevent crash when drawing robot with empty path,['path-drawer.js'],{'master'},Valetudo
8a36b11e06e52fbe2601d90d2ccdead2fabb7a9e,Milan Pässler,2019-02-24,fix robot angle calculation when map is not flipped,['path-drawer.js'],{'master'},Valetudo
4b18af9f7e14a53db36fc7821f8b0ced408df3cc,Hypfer,2019-03-22,#120 Fix broken device info,['WebServer.js'],{'master'},Valetudo
d17fe21bf0bac1e7456908d1420489f76a72a5f6,Hypfer,2019-03-23,#121 Fix broken remote API,['WebServer.js'],{'master'},Valetudo
19738af28490c04866cfd529d8d4f9339f1e778b,Hypfer,2019-03-23,Updated documentation,['Todo.md'],{'master'},Valetudo
9d44048c8d2fea6266537e387a27b26c0ec416b7,Hypfer,2019-03-23,Implemented non-interactive Map via MQTT,"['index.html,Configuration.js,MqttClient.js,Tools.js,Valetudo.js,WebServer.js,package.json']",{'master'},Valetudo
9f5279e67a38a737b61127e9ee89d2b04a2004d7,Hypfer,2019-03-23,Fixed broken Cleaning History,['Vacuum.js'],{'master'},Valetudo
