Commit_ID,Contributor,Date,Message,Files,Branch
8dbbc1025baf91a3e5894575c1efa84c18dc3e14,Kevin Hester,2014-03-27,add apache license,['LICENSE'],{'master'}
9245266530f7ba0808e784d329e04f54b97b92f4,Kevin Hester,2014-03-27,Move previous sketch into this project.,"['DroneApi.py,client_sketch.py']",{'master'}
c4e6a0310cb02097c7b89e83c7516a3ef20c7988,Kevin Hester,2014-03-27,initial guess at a setup.py script,['setup.py'],{'master'}
1035b7a133e9db6d796a7bdd629a9da04eb67f79,Kevin Hester,2014-03-27,change directory structure,['DroneApi.py'],{'master'}
7599ed12f239393f9cc646088a8be799cb8ea7f9,Kevin Hester,2014-03-27,module loads now in mavproxy,"['DroneApi.py,api.py']",{'master'}
de9748338d85d3dcfc09b734f2b47dd65e575132,Kevin Hester,2014-03-27,"mavproxy api module approximately works, now adding missing functions","['DroneApi.py,api.py']",{'master'}
df279718d69e48cde056ba56df0e03bce0174b37,Kevin Hester,2014-03-27,make HasAttributeObservers work,['DroneApi.py'],{'master'}
c268602d1ad3888d5372cd304b40cdf591d65029,Kevin Hester,2014-03-28,attitude/location works,"['DroneApi.py,api.py']",{'master'}
2431c98dd1a1f648d7de3cddbdde985c94d0a823,Kevin Hester,2014-03-28,gps info works,"['DroneApi.py,api.py']",{'master'}
e914e24ff8374f0ceb796308bc5a76414af73c24,Kevin Hester,2014-03-28,basic parameter access works,"['DroneApi.py,api.py']",{'master'}
74489ea620668cb451e530b490f410b241d3e71e,Kevin Hester,2014-03-28,waypoints approximately work,"['DroneApi.py,api.py']",{'master'}
9e9b3e03c052084f3965025c8096467b67181217,Kevin Hester,2014-03-28,Updates to make nice packages,"['DroneApi.py,api.py,setup.py']",{'master'}
1cb7380a20392c6c5315b1d4277161626984144f,Kevin Hester,2014-03-28,add a small stand-alone demo,['small-demo.py'],{'master'}
521b8c85aef62741074a30e9fc748d1a2859480e,Kevin Hester,2014-03-29,add fake data for the gpsd service (follow-me example),"['fake-gps-data.log,run-fake-gps.sh']",{'master'}
