Commit_ID,Contributor,Date,Message,Files
9df29ad3b3fb769317d9c5560c54e89c92a71680,Simen Svale Skogsrud,2009-01-25,version 0.1,"['COPYING.txt,Makefile,config.h,gcode.c,gcode.h,main.c,motion_control.c,motion_control.h,nuts_bolts.h,readme.txt,serial_protocol.c,serial_protocol.h,spindle_control.c,spindle_control.h,todo.txt,wiring_private.h,wiring_serial.c,wiring_serial.h']"
8108f64c746fde95a0e5ff205f21207a2dfedda5,Simen Svale Skogsrud,2009-01-25,Added status in readme,['readme.txt']
bd9c1a31f6efce93975491b754c318240b435032,Simen Svale Skogsrud,2009-01-26,minor edit,['readme.txt']
323118546d5e72646443c6606a2c9a44fe32c28f,Simen Svale Skogsrud,2009-01-26,renamed file,['COPYING']
8530c7d2fc35bf7ed1edb112c8672a7b0e665e2c,Simen Svale Skogsrud,2009-01-27,added testbed for the arc interpolator i will be using,['arc.rb']
3ead6a02e743af8b1cda4beddc359a2614c4bbf8,Simen Svale Skogsrud,2009-01-27,minor edit,['readme.txt']
2207acdf2bb7a2cfa9c031c743acd6b9188f401f,Simen Svale Skogsrud,2009-01-27,minor edit,['readme.txt']
ac2e26fda91d116e21600dfaf769bd670a60b632,Simen Svale Skogsrud,2009-01-28,added buffered stepping support and the rudiments of the arc-interpolator,"['Makefile,arc.rb,config.h,main.c,motion_control.c,motion_control.h,stepper.c,stepper.h,todo.txt']"
a9d41c6c646d68f9b91d0bfda72deca2faf3c258,Simen Svale Skogsrud,2009-01-29,tweaks and bugfixes,"['Makefile,gcode.c,motion_control.c,readme.txt,serial_protocol.c,stepper.c,stepper.h,todo.txt,wiring_serial.c']"
73a357e512114f16822514f32ba4ea13545b9e6e,Simen Svale Skogsrud,2009-01-29,minor edit,['motion_control.c']
8c18e2659d5c5cee0555206f1b6c900f7e587fa9,Simen Svale Skogsrud,2009-01-29,motion control level support for arcs. No gcode yet,"['motion_control.c,motion_control.h,todo.txt']"
0c8004357aa01487687ea804bf79c1b8b906d3db,Simen Svale Skogsrud,2009-01-30,optimized arc code for size and speed,"['motion_control.c,motion_control.h']"
5f5bd35ddb48b0ff5bc89648c85cf93680c79235,Simen Svale Skogsrud,2009-01-30,minor optimizatin for size,['motion_control.c']
68c13981b3424339e7c1adc0c0aa0ef6c562e1b4,Simen Svale Skogsrud,2009-01-30,enabled interrupts and mad buffer flushing atomic,['stepper.c']
02f6699b0aaf3feac3380a71fcc663f984fe02ac,Simen Svale Skogsrud,2009-01-30,minor edits,"['gcode.c,motion_control.c']"
cb6b32f982288b3fedc9278e9d4191367ece3610,Simen Svale Skogsrud,2009-01-30,updated todo,['todo.txt']
e21064bd866b90ced187fdf0441698b6a2df42e8,Simen Svale Skogsrud,2009-01-30,gcode support for offset arcs,"['Makefile,theta.rb,gcode.c,geometry.c,geometry.h,todo.txt']"
9799955555bdde74962bb7fe1f4caa5e78dce632,Simen Svale Skogsrud,2009-02-01,arc code complete with support for both R and IJK style blocks,"['arc.rb,config.h,gcode.c,geometry.c,geometry.h,motion_control.c']"
50a9f7808881f268a8e96e7f220f31a7da627d86,Simen Svale Skogsrud,2009-02-03,lots and lots of bugfixes after running on reals hardware for the first time,"['Makefile,arc.rb,theta.rb,config.h,gcode.c,gcode.h,geometry.c,geometry.h,unrolled_arc.c,main.c,motion_control.c,motion_control.h,nuts_bolts.h,serial_protocol.c,serial_protocol.h,stepper.c,stepper.h,echotest.rb,gcodetest.png']"
5797812f4aec89665a4f2d6b18b2d69d6b26d4a4,Simen Svale Skogsrud,2009-02-03,deleted a stray png,['gcodetest.png']
7f9a9d27e2303199e6d430b6ce8e024d638a2832,Simen Svale Skogsrud,2009-02-03,stepper signals looks good on scope,"['motion_control.c,nuts_bolts.h,stepper.c,echotest.rb,gcodetest.png']"
d012440518695d44ad410adfe905b12d385b1a20,Simen Svale Skogsrud,2009-02-04,presumably fixed the feed rate computation,"['config.h,motion_control.c,serial_protocol.c,serial_protocol.h,stepper.c,todo.txt']"
6c3a6a25d5b34d9a1cdf02d342ccf700dbcebfc3,Simen Svale Skogsrud,2009-02-08,"pace calculation correct, arc algorithm correct, support for negative R","['config.h,gcode.c,motion_control.c,console,proxy,serial_protocol.c,echotest.rb,gcodetest.png,todo.txt']"
8a0c9fd1808f48b912d69bd7a808f23295c500aa,Simen Svale Skogsrud,2009-02-08,updated readme,['readme.txt']
c07a32258950da2de2bb0c809e14ab9d491b67aa,Simen Svale Skogsrud,2009-02-08,fixed buffering of pace changes and general cleaning,"['gcode.c,main.c,motion_control.c,stepper.c,todo.txt']"
05bacc436e7ede1a760aac4f064d81e74af8b7c1,Simen Svale Skogsrud,2009-02-08,"optimized for size, shaved 2k","['gcode.c,motion_control.c,motion_control.h,stepper.c,stepper.h']"
3e5e866115e5b2bd90d6b518c65b3b559aea094b,Simen Svale Skogsrud,2009-02-08,shaved ~100 bytes of code space,['gcode.c']
