Commit_ID,Contributor,Date,Message,Files,Branch
75fdf5edca4a118239927a37caf5da7ea0b4cf6a,Felix Geisendörfer,2012-07-21,Readme,['Readme.md'],{'master'}
60735ebb79d8b7ed5c226c434fb5a7ba3df066a9,Felix Geisendörfer,2012-07-22,"Some initial stuff, some of it works","['index.js,BitNumber.js,Client.js,ClientConfig.js,MessageParser.js,Navdata.js,package.json,common.js,test-BitNumber.js,test-NavdataParser.js']",{'master'}
b75c0b6ede7bf0723ebfd734c831541f7f267146,Felix Geisendörfer,2012-07-23,Some more working stuff & repl love,"['Readme.md,Client.js']",{'master'}
971ed3fb210bd3c4276addc4b4d813b3c616a301,Felix Geisendörfer,2012-07-25,Check in latest stuffGood enough to have lots of fun with the repl!,"['Readme.md,Client.js,Navdata.js,Repl.js,test-Client.js']",{'master'}
e20f2eac16942ac6f05ce03ee563d561f6bcd35b,Felix Geisendörfer,2012-07-27,New png video streaming and other things,"['Client.js,PngSplitter.js,Repl.js,VideoStream.js']",{'master'}
34bd9a33cb31cc0befecb4a0933402ea92dcd8f1,Felix Geisendörfer,2012-07-27,Implement client.sequence() featureMakes it easy to script hardcoded flight sequences.,"['Client.js,Sequence.js']",{'master'}
ad95d1ffefc4ca739a14247c1aeea3df694c824f,Felix Geisendörfer,2012-07-27,WIP: More Navdata parsing,"['Client.js,MessageParser.js,Navdata.js']",{'master'}
ea40047a2cace66cc3b5aea4b46177977254ee9b,Felix Geisendörfer,2012-07-27,Add PngSplitter#endJust needs to be there so Stream#pipe() does not freak out when thesource is done and it is trying to close the destination.,['PngSplitter.js'],{'master'}
a8b8fec11f3ac01bb98a723a7b3a8560107a0d75,Felix Geisendörfer,2012-07-27,New readme,['Readme.md'],{'master'}
cc2c4fd1e83aec1ed804b67a549055183f33790c,Felix Geisendörfer,2012-07-27,Fix markdown rendering,['Readme.md'],{'master'}
